word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"yeah",0.02084757095090126,46028,3
"different",0.0367905833804188,8694,1
"expression",0.039635357113923304,8070,1
"uh-huh",0.0407072646400714,15715,2
"states",0.04871418396426455,6566,1
"control",0.04945992452595656,6467,1
"american",0.0535594996499265,5972,1
"united",0.06191585983533896,5166,1
"called",0.0638692755410066,5008,1
"table",0.06514405945200837,4910,1
"don",0.06839234773977101,23384,5
"problem",0.07015953759801734,4559,1
"news",0.07171689056263701,4460,1
"health",0.07349662957476127,4352,1
"given",0.07464581841525345,4285,1
"rather",0.07642946999028938,4185,1
"age",0.07990440467383489,4003,1
"seen",0.08136792976580032,3931,1
"almost",0.08371037213016516,3821,1
"stuff",0.0871071165330504,3672,1
"using",0.09112744498842196,10530,3
"according",0.0932256869453107,3431,1
"which",0.09619126498427004,29927,9
"16",0.0975472192465267,3279,1
"per",0.0989045553213856,3234,1
"compared",0.09899638870608513,3231,1
"local",0.1003946427838547,3186,1
"standard",0.10071074682284668,3176,1
"page",0.10154201012995588,3150,1
"slate",0.10186539232782199,3140,1
"especially",0.10314651141869108,3101,1
"de",0.10334647234551246,3095,1
"include",0.10473390042873643,3054,1
"century",0.10535485240756293,3036,1
"performed",0.11230945642884868,2848,1
"children",0.11746505027886928,5446,2
"population",0.11789802134513862,2713,1
"language",0.11930523383415183,2681,1
"drug",0.1237837971785453,2584,1
"between",0.12415857926766595,12881,5
"normal",0.12421643957645088,2575,1
"whose",0.1243129933576996,2573,1
"policy",0.12825073452660826,2494,1
"state",0.131124896929227,7318,3
"11",0.131466227665171,4866,2
"blood",0.13157438581216005,2431,1
"main",0.13310750391567253,2403,1
"shows",0.13507488678604776,2368,1
"under",0.13673012193332618,7018,3
"various",0.13882696697454908,2304,1
"press",0.13900796693149112,2301,1
"central",0.13931068462951265,2296,1
"papers",0.14028830346901802,2280,1
"food",0.14041147142640958,2278,1
"greater",0.14103056962493873,2268,1
"british",0.14336948987420933,2231,1
"less",0.14749031597419046,6506,3
"paper",0.14815068638692036,4318,2
"cover",0.151089906428607,2117,1
"30",0.15134011445912515,4227,2
"built",0.15429683160123542,2073,1
"needed",0.154969637552985,2064,1
"major",0.15579996683359038,4106,2
"water",0.1588563853535441,4027,2
"min",0.15897481705236632,2012,1
"ones",0.1592122110051573,2009,1
"small",0.15974229993808609,6007,3
"cannot",0.16032948967887772,1995,1
"human",0.16102903099984614,5959,3
"husband",0.16138109581703383,1982,1
"month",0.16187111938732848,1976,1
"hundred",0.16360988844468596,1955,1
"20",0.16726023979921267,5737,3
"cut",0.16737693977465257,1911,1
"support",0.16946083809767473,3775,2
"service",0.17013687867519203,3760,2
"available",0.17040880762352748,3754,2
"set",0.1711992855893101,5605,3
"force",0.1714133611518548,1866,1
"despite",0.17233692452012986,1856,1
"work",0.17283357271759425,11104,6
"sex",0.17327049399206992,1846,1
"source",0.174024663715648,1838,1
"company",0.17468996827381816,3662,2
"collection",0.17681444549992317,1809,1
"address",0.17710815720341144,1806,1
"certainly",0.17909145123704426,1786,1
"lot",0.17979613935321026,10674,6
"numbers",0.17989726204126044,1778,1
"among",0.18057433114943228,5314,3
"road",0.18081251097193954,1769,1
"further",0.18350965686136606,3486,2
"twenty",0.18435581089876718,1735,1
"middle",0.18488863116148038,1730,1
"mouse",0.1852098042324036,1727,1
"following",0.1859095215980012,3441,2
"followed",0.185963565063582,1720,1
"society",0.18683255368537446,1712,1
"able",0.18716052188962026,3418,2
"credit",0.18937675068641863,1689,1
"necessary",0.19061819541678252,1678,1
"nearly",0.19084566343040635,1676,1
"indeed",0.19141671568483606,1671,1
"treated",0.19326727003586772,1655,1
"behind",0.19326727003586772,1655,1
"americans",0.19479740067561574,1642,1
"13",0.19617131671840604,3261,2
"car",0.1965329228321727,3255,2
"appears",0.20193013378116229,1584,1
"1996",0.2023133029154719,1581,1
"older",0.2042511698016354,1566,1
"most",0.2048099802667776,17179,11
"form",0.20649279012870309,3098,2
"bill",0.20669294469102492,3095,2
"led",0.2075647838477359,1541,1
"length",0.20810496545827004,1537,1
"situation",0.20851195039723666,1534,1
"leading",0.20905707967932094,1530,1
"18",0.20933071460036717,3056,2
"simple",0.2130961571681286,1501,1
"appear",0.2136655523776627,1497,1
"natural",0.2136655523776627,1497,1
"usually",0.2145253735139913,2982,2
"allow",0.21553728565320826,1484,1
"past",0.21685242841312613,2950,2
"measure",0.21744210190983077,1471,1
"trying",0.21855642767978206,2927,2
"none",0.2207435002825128,1449,1
"job",0.22143117473822158,2889,2
"saving",0.22150784758266,1444,1
"step",0.22196900201898756,1441,1
"men",0.2225094482847729,2875,2
"sounds",0.2241466936996223,1427,1
"its",0.22415716588676957,21404,15
"half",0.22765646399242778,2810,2
"often",0.2288509410274465,4193,3
"least",0.2292062571905131,5582,4
"saying",0.22945289233096203,2788,2
"named",0.22945289233096203,1394,1
"kids",0.23122216764532125,4150,3
"comment",0.23178067529663846,1380,1
"lead",0.23203288495419735,2757,2
"has",0.2328131510098124,34347,25
"sense",0.23355774509628408,2739,2
"allowed",0.23449951019747878,1364,1
"either",0.23527571306315637,5438,4
"created",0.24103792909522312,1327,1
"supposed",0.2421327266535663,1321,1
"growing",0.24231616053739471,1320,1
"says",0.2437193934085348,6562,5
"muscle",0.24585498225162264,1301,1
"fact",0.24604410146873926,5200,4
"beach",0.24623351186247963,1299,1
"finding",0.24814377960384879,1289,1
"particular",0.2486259867153992,2573,2
"order",0.24865820049963286,3859,3
"choice",0.24872265311769912,1286,1
"future",0.2515590498697295,2543,2
"33",0.2524525113728185,1267,1
"really",0.25385502532488974,17640,14
"family",0.2565426146209184,6234,5
"figure",0.25767239412676773,7448,6
"unless",0.2577416050840943,1241,1
"child",0.257845491261073,2481,2
"completely",0.25794946121722667,1240,1
"possibility",0.25878424911760606,1236,1
"kind",0.2604436290356121,9825,8
"bought",0.2608950504970318,1226,1
"22",0.2612146442706093,2449,2
"number",0.26263945142117623,8525,7
"actual",0.2628244304924906,1217,1
"plans",0.2669927645320209,1198,1
"starting",0.2669927645320209,1198,1
"ground",0.2676630392546955,1195,1
"post",0.26916465518319305,3565,3
"giving",0.2701497735720955,1184,1
"school",0.272265348918421,5874,5
"rock",0.2731488743888651,1171,1
"party",0.27432018174044687,2332,2
"neither",0.2752644852920491,1162,1
"letter",0.2752644852920491,1162,1
"lake",0.2774131239456731,1153,1
"understanding",0.27765393394909815,1152,1
"provided",0.2786213692590253,2296,2
"war",0.27910761946715623,4584,4
"become",0.2803307028127617,3423,3
"th",0.2818126272329172,1135,1
"should",0.28620018961109617,11176,10
"10",0.28663905079998503,10043,9
"dead",0.2871250735272541,1114,1
"attack",0.2879003887573007,1111,1
"image",0.28815975847690184,1110,1
"point",0.2889406792315818,5535,5
"failure",0.28972584412079805,1104,1
"death",0.29273093219282587,3278,3
"of",0.2941412939339506,434971,400
"spanish",0.2956167577720527,1082,1
"country",0.29575342756297834,4326,4
"dictionary",0.29949188381026315,1068,1
"click",0.3011839283515641,2124,2
"wall",0.3018946030291279,2119,2
"anything",0.3023226199521371,4232,4
"east",0.30260863946013344,2114,2
"successful",0.3037581499614065,1053,1
"taking",0.30506183300845113,2097,2
"exactly",0.3068175845653343,2085,2
"character",0.3075551268359241,1040,1
"real",0.30904090039551796,6210,6
"oil",0.30904090039551796,1035,1
"shall",0.3114482297072649,1027,1
"lines",0.3125132700628833,2047,2
"expect",0.31358561951898145,1020,1
"net",0.31389335810535923,1019,1
"miles",0.3146653535753675,2033,2
"strain",0.31731878165611216,1008,1
"year",0.3177601151493752,10066,10
"southern",0.31826600189986176,1005,1
