word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"um",0.0021987383750523806,21907,1
"genes",0.005466775800961583,8811,1
"clinton",0.0055853155823599844,8624,1
"however",0.005879136040799768,8193,1
"expression",0.005968743690492256,8070,1
"system",0.007183857059250187,6705,1
"data",0.00741441723732356,12993,2
"public",0.008359555984427716,5762,1
"11",0.009898841262283704,4866,1
"don",0.01029929900407811,23384,5
"large",0.010583995074109537,4551,1
"study",0.011183599160035407,8614,2
"model",0.012090301601976031,3984,1
"services",0.01244966698947338,3869,1
"order",0.012481928370632937,3859,1
"50",0.01312473067636853,3670,1
"cases",0.013346567354467305,3609,1
"research",0.014605142990379778,3298,1
"et",0.01470771346023588,3275,1
"identified",0.015664312709682115,3075,1
"18",0.015761702088439956,3056,1
"interest",0.016473242675195794,2924,1
"binding",0.016490161445488705,2921,1
"required",0.01706866108514263,2822,1
"review",0.017172107515961675,2805,1
"perhaps",0.01769572431384001,2722,1
"language",0.017966341507748042,2681,1
"uh-huh",0.018390491218175948,15715,6
"quality",0.018440950069782736,2612,1
"drug",0.01864077460614261,2584,1
"department",0.018837607188999805,2557,1
"samples",0.019367817282779455,2487,1
"actually",0.01958437145040557,4919,2
"approach",0.019838452052006798,2428,1
"terms",0.020593314058261012,2339,1
"court",0.020663990382785286,2331,1
"various",0.020906146520083553,2304,1
"papers",0.021126211220294958,2280,1
"haven",0.02115404549067743,2277,1
"medical",0.021369903097725157,2254,1
"states",0.022007810652881134,6566,3
"parents",0.022024582342145636,2187,1
"computer",0.022176685811359346,2172,1
"patient",0.022186900774883694,2171,1
"international",0.023002751471954398,2094,1
"area",0.0232357750035082,4146,2
"dollars",0.02353090453457377,2047,1
"los",0.023798301177012107,2024,1
"list",0.024011845255370142,2006,1
"husband",0.024302604229199044,1982,1
"factor",0.024314872075856895,1981,1
"access",0.02467610736796747,1952,1
"product",0.02477765513491384,1944,1
"building",0.024828743083645622,1940,1
"positive",0.02497032741434552,1929,1
"26",0.025048237952299796,1923,1
"20",0.025187952718636487,5737,3
"particularly",0.02520552673065019,1911,1
"term",0.025258396215140276,1907,1
"group",0.025431764298982317,5682,3
"27",0.025445198934111204,1893,1
"modern",0.02548558813876852,1890,1
"service",0.02562114977780452,3760,2
"internet",0.02562114977780452,1880,1
"nuclear",0.025896646011974465,1860,1
"ability",0.025980453927870822,1854,1
"popular",0.026335572215567253,1829,1
"25",0.026502207197949112,3635,2
"collection",0.026626733876325318,1809,1
"toward",0.026626733876325318,1809,1
"controls",0.026864339978958453,1793,1
"staff",0.02698474038222549,1785,1
"except",0.02715206402608371,1774,1
"production",0.02724420903974689,1768,1
"program",0.027592760119690193,5237,3
"signal",0.027939536880668508,1724,1
"provide",0.027963867391740203,3445,2
"united",0.02797198698157521,5166,3
"according",0.028077972359237834,3431,2
"angeles",0.028184763945156528,1709,1
"president",0.028484779173431403,6764,4
"identify",0.028722576972136257,1677,1
"attention",0.02879125019860879,1673,1
"earlier",0.029174901018941553,1651,1
"role",0.029174901018941553,3302,2
"americans",0.02933481216947168,1642,1
"drugs",0.02933481216947168,1642,1
"visit",0.029352688349952777,1641,1
"16",0.029379543508552916,3279,2
"ca",0.029714843665806602,1621,1
"trial",0.030067266905288707,1602,1
"100",0.030151963431782475,3195,2
"35",0.030602135693946955,1574,1
"selection",0.030936263058620746,1557,1
"english",0.03095614497575354,3112,2
"length",0.03133881690453644,1537,1
"magazine",0.031420588116289956,1533,1
"workers",0.03152340417687991,1528,1
"include",0.031544048187473805,3054,2
"century",0.031731068236016145,3036,2
"also",0.031735548127056104,21249,14
"fbi",0.032090447423232846,1501,1
"director",0.03224080427193608,1494,1
"critics",0.03241437522360195,1486,1
"stock",0.03243620308570539,1485,1
"measured",0.032545784852886825,1480,1
"market",0.03313915485536464,2907,2
"republicans",0.033150558556278395,1453,1
"social",0.03327651922782211,2895,2
"equal",0.03331103843863935,1446,1
"suggested",0.03335717561099204,1444,1
"genetic",0.033778233928662346,1426,1
"involved",0.033992774581702544,2834,2
"com",0.03408900324293879,1413,1
"30",0.03418577826988822,4227,3
"contains",0.03440554398733751,1400,1
"status",0.03447942847693093,1397,1
"medium",0.03477816720741697,1385,1
"apparently",0.03570627248500556,1349,1
"national",0.035726135050823296,5393,4
"19",0.035732760817709576,2696,2
"features",0.035812462142953534,1345,1
"total",0.03615293588862085,3997,3
"politics",0.03621636209193421,1330,1
"using",0.03659469066079583,10530,8
"interview",0.037023644567465416,2602,2
"muscle",0.037023644567465416,1301,1
"dallas",0.03708064786933988,1299,1
"particular",0.037440933993216095,2573,2
"patterns",0.037543072160773586,1283,1
"hospital",0.03757235692844969,1282,1
"33",0.03801717567661603,1267,1
"famous",0.03813757844993864,1263,1
"behavior",0.0381677984011668,1262,1
"produce",0.03828915865045509,1258,1
"sections",0.03828915865045509,1258,1
"contain",0.03831961939719372,1257,1
"cell",0.03832978375247149,7540,6
"possibility",0.038970680891806234,1236,1
"huge",0.039065500066725475,1233,1
"breast",0.0392885494145779,1226,1
"focus",0.039514160444850295,1219,1
"material",0.0410287577361776,1174,1
"plus",0.04109877268111989,1172,1
"costs",0.04109877268111989,2344,2
"1995",0.04148816673753015,1161,1
"student",0.041921463518078766,1149,1
"center",0.042055670764498704,3436,3
"strategy",0.04210468669779065,1144,1
"greater",0.04247598023128087,2268,2
"library",0.04266409351839903,1129,1
"college",0.0428729520091433,2247,2
