word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"uh",0.008201836498119341,67107,3
"control",0.028369704751265126,6467,1
"case",0.029491541653501298,6221,1
"public",0.03184083315279965,5762,1
"report",0.03318865423777705,5528,1
"course",0.03344274163806627,5486,1
"women",0.03984945278593214,4604,1
"federal",0.040242790222950554,4559,1
"clinton",0.04254797788182551,8624,2
"given",0.04281607482530492,4285,1
"reported",0.04404967121883111,4165,1
"doing",0.04404967121883111,4165,1
"additional",0.0466955664612959,3929,1
"50",0.049990975647529044,3670,1
"company",0.05010018586194199,3662,1
"state",0.05014126281126854,7318,2
"post",0.05146336062452499,3565,1
"likely",0.05241910875040902,3500,1
"don",0.05492080757719043,23384,7
"role",0.055562350280566795,3302,1
"states",0.05588391124777081,6566,2
"car",0.056364633064955934,3255,1
"100",0.05742312382673914,3195,1
"18",0.06003497402697368,3056,1
"against",0.060331101817307324,6082,2
"few",0.06127818324196111,5988,2
"usually",0.06152477552864909,2982,1
"person",0.06156606732430589,2980,1
"binding",0.06280961336064073,2921,1
"tax",0.06287418801454132,2918,1
"whether",0.06417169661645036,5718,2
"nyt",0.06453284580599071,2843,1
"number",0.06456312514713133,8525,3
"rule",0.06983893438387194,2627,1
"during",0.0710561117840556,7746,3
"due",0.07124927402968216,2575,1
"itself",0.07271774896013934,2523,1
"shown",0.07303617859332466,5024,2
"figure",0.07389911947896008,7448,3
"lower",0.07400842300380459,2479,1
"piece",0.07494562117092793,2448,1
"approach",0.0755629656616275,2428,1
"design",0.07833769454587172,2342,1
"conditions",0.07837115789253804,2341,1
"week",0.07909759889046415,4639,2
"provided",0.07990717797318447,2296,1
"range",0.07997684421378883,2294,1
"war",0.0800466320359649,4584,2
"texas",0.08015154243181807,2289,1
"media",0.08043265262009275,2281,1
"papers",0.0804679300993121,2280,1
"british",0.08223526697733373,2231,1
"40",0.08366022828382652,2193,1
"yeah",0.08370566814015519,46028,21
"questions",0.08400498197180932,2184,1
"paper",0.08497771219380805,4318,2
"probably",0.0853863856468034,6446,3
"action",0.08593296516460495,2135,1
"multiple",0.0873651812506817,2100,1
"treatment",0.09060092870441065,4050,2
"los",0.09064569200910651,2024,1
"being",0.0910392659106471,8061,4
"washington",0.09116366739201569,4025,2
"added",0.0915046786166741,2005,1
"small",0.091626542680089,6007,3
"human",0.09236459840229815,5959,3
"school",0.09370116477345841,5874,3
"products",0.09389297882621882,1954,1
"background",0.09620706902277482,1907,1
"term",0.09620706902277482,1907,1
"changes",0.09676523239790695,3792,2
"modern",0.09707242361186856,1890,1
"island",0.09743328764016547,1883,1
"described",0.09756281873248154,3761,2
"internet",0.09758876629065508,1880,1
"original",0.09938617585397161,1846,1
"25",0.10094463858400637,3635,2
"space",0.10119519063785526,1813,1
"foreign",0.10125103787330661,1812,1
"web",0.1013629174731666,1810,1
"church",0.1019827018490448,1799,1
"production",0.10377086008282328,1768,1
"after",0.1041981431926347,14086,8
"coming",0.10477834416129729,1751,1
"different",0.1055135039259441,8694,5
"mouse",0.10623444159029043,1727,1
"following",0.10663579228505177,3441,2
"daily",0.10685316285756062,1717,1
"according",0.10694659319523844,3431,2
"become",0.1071965414118794,3423,2
"angeles",0.10735335320446551,1709,1
"field",0.10927151913426537,1679,1
"nearly",0.10946711254560357,1676,1
"david",0.10946711254560357,1676,1
"treated",0.11085612122442995,1655,1
"earlier",0.11112470056113359,1651,1
"less",0.11279857400948759,6506,4
"weight",0.11346127435153468,1617,1
"effects",0.11430958294481718,3210,2
"trial",0.11452364583422694,1602,1
"appears",0.11582505090052499,1584,1
"60",0.11641299532133983,1576,1
"produced",0.11641299532133983,1576,1
"transcription",0.11730618965884372,1564,1
"24",0.11828941368564252,3102,2
"writing",0.1185186567354209,1548,1
"income",0.1203850922745614,1524,1
"problem",0.12072837066885167,4559,3
"century",0.12086092267880867,3036,2
"appear",0.12255636648392222,1497,1
