word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"which",0.012336531739148173,29927,1
"using",0.03506129015740621,10530,1
"study",0.04285992400249447,8614,1
"gene",0.047302419648621065,7805,1
"house",0.05103613289431675,7234,1
"less",0.05674690829349637,6506,1
"probably",0.05727511407965985,6446,1
"case",0.05934663002049307,6221,1
"20",0.06435338772136785,5737,1
"most",0.06447326131162828,17179,3
"several",0.0653674549145693,5648,1
"point",0.06670196664091912,5535,1
"children",0.06779202815965614,5446,1
"either",0.06789175898445889,5438,1
"national",0.06845825799322963,5393,1
"city",0.06926742689633911,5330,1
"program",0.07049749577190899,5237,1
"yeah",0.0721899380424391,46028,9
"table",0.07519254284266547,4910,1
"including",0.07563929222648788,4881,1
"war",0.08054000553173808,4584,1
"problem",0.08098165943353529,4559,1
"second",0.08141022830374585,4535,1
"news",0.08277923438508686,4460,1
"type",0.08579953180513303,4303,1
"between",0.0859860380461503,12881,3
"given",0.08615994990839845,4285,1
"30",0.08734217775194875,4227,1
"often",0.08805041387013769,4193,1
"law",0.09080063584788181,4066,1
"expression",0.09149823676765487,8070,2
"model",0.09266952443712034,3984,1
"additional",0.09396675626304082,3929,1
"changes",0.09736165225672136,3792,1
"state",0.10090062458526576,7318,2
"question",0.10304085552818515,3583,1
"following",0.1072930500893599,3441,1
"10",0.11028439271855643,10043,3
"times",0.11168560613819323,9917,3
"death",0.11262824446537138,3278,1
"six",0.11515763735417572,3206,1
"100",0.11555411122300074,3195,1
"family",0.11844574442011145,6234,2
"english",0.11863604927939826,3112,1
"24",0.11901849947049883,3102,1
"century",0.12160585815464012,3036,1
"person",0.12389106891190851,2980,1
"human",0.12391185949236025,5959,2
"values",0.12430821055807656,2970,1
"market",0.1270021965454033,2907,1
"different",0.1273966133048611,8694,3
"side",0.127440588663268,2897,1
"social",0.12752863052072103,2895,1
"job",0.12779348748961142,2889,1
"whether",0.12913444748425582,5718,2
"performed",0.12963321115080315,2848,1
"number",0.12992212974457035,8525,3
"although",0.1299526171620864,5682,2
"ii",0.13138625813433713,2810,1
"review",0.13162045823796342,2805,1
"least",0.13228068267914272,5582,2
"mean",0.13235181407330612,11158,4
"recently",0.13396058975235392,2756,1
"sense",0.1347920355449023,2739,1
"among",0.13895197040176416,5314,2
"previously",0.13942423918334115,2648,1
"rule",0.14053878391986577,2627,1
"21",0.1418345698645745,2603,1
"whose",0.14348829590263792,2573,1
"art",0.14444263902875093,2556,1
"going",0.1450527002681416,10181,4
"year",0.14670986900754515,10066,4
"final",0.14947181593420542,2470,1
"piece",0.1508151083976664,2448,1
"showed",0.15199480665190918,2429,1
"presence",0.1543458968885817,2392,1
"size",0.1547989037138312,2385,1
"amount",0.15683746191906855,2354,1
"university",0.15872544512359735,2326,1
"press",0.16044997190677418,2301,1
"provided",0.16079938386650147,2296,1
"whatever",0.16086944895751085,2295,1
"papers",0.16192780059538922,2280,1
"haven",0.1621411442061868,2277,1
"college",0.16430591248664325,2247,1
"class",0.16667963221556995,2215,1
"outside",0.16781608425340336,2200,1
"file",0.17357563956628463,2127,1
"also",0.1737471812120511,21249,10
"finally",0.17555653131597115,2103,1
"doing",0.1772846988511344,4165,2
"built",0.17809714681982025,2073,1
"present",0.18044740242301438,4092,2
"los",0.18240878723196016,2024,1
"water",0.18336001259373597,4027,2
"added",0.18413734930548,2005,1
"total",0.1847362448623905,3997,2
"cannot",0.18506034353758766,1995,1
"business",0.18599263745969136,3970,2
"use",0.18657539183216465,9894,5
"school",0.18855739803753188,5874,3
"building",0.19030689966880796,1940,1
"during",0.19065085740123283,7746,4
"order",0.1913425163811803,3859,2
"26",0.19198927995709172,1923,1
"cut",0.19319486413264647,1911,1
"inside",0.1938033518936942,1905,1
"models",0.19627612193380511,1881,1
"body",0.19743068735694513,1870,1
"people",0.19756803411863189,18687,10
"leads",0.1983854838030561,1861,1
"french",0.19945725843192186,1851,1
"agree",0.20185641626981268,1829,1
"29",0.20207738662150376,1827,1
"ways",0.2024097507442365,1824,1
"25",0.20313363706051576,3635,2
"million",0.20318953514446197,3634,2
"toward",0.20408810688639434,1809,1
"lot",0.20752972757587823,10674,6
"getting",0.2114521107431199,3492,2
"twenty",0.21279272931267287,1735,1
"angeles",0.21603006749999262,1709,1
"nearly",0.22028364281472995,1676,1
"attention",0.2206786523356171,1673,1
"called",0.221163369822776,5008,3
"higher",0.22140652795051718,3335,2
"calls",0.22173897018467711,1665,1
"training",0.2226751419526462,1658,1
"western",0.2237547790045378,1650,1
"its",0.22423565733728912,21404,13
"pretty",0.22479930100922715,4927,3
"visit",0.22498195329523912,1641,1
"car",0.2268481630460752,3255,2
"account",0.2283212030658549,1617,1
"weight",0.2283212030658549,1617,1
"control",0.22835650864851548,6467,4
"years",0.22961696982507185,12863,8
"father",0.23118057943487,1597,1
"their",0.2324013616518543,28595,18
"appears",0.23307789479639357,1584,1
"page",0.23440976848094436,3150,2
"others",0.23834434174143795,3098,2
"writing",0.2384983109544492,1548,1
"week",0.23875536884510937,4639,3
"god",0.2405181663566693,1535,1
"making",0.24083195391877846,3066,2
"18",0.24162001659521426,3056,2
"include",0.2417782484331941,3054,2
"hour",0.24257252651608893,1522,1
"simple",0.24596627938540133,1501,1
"natural",0.24662350391281723,1497,1
"has",0.24722665336775293,34347,23
"usually",0.2476159526207159,2982,2
"alternative",0.24828203453765121,1487,1
"rules",0.24979390078314437,1478,1
"into",0.2529746259515702,17513,12
"offer",0.25426679432333843,1452,1
"move",0.25603008693307033,1442,1
"men",0.2568315724225999,2875,2
"book",0.2589936060031479,5702,4
"noted",0.26073120434850805,1416,1
"sometimes",0.26073120434850805,2832,2
"having",0.2610384529984592,4243,3
"knowledge",0.2612847737844921,1413,1
"than",0.2616769460528366,23985,17
"july",0.2623989945682213,1407,1
"contains",0.2637109895410624,1400,1
"him",0.2652265699407237,9744,7
"paid",0.2656081909046672,1390,1
"sunday",0.26637473691016406,1386,1
"serious",0.2722679833019819,1356,1
"robert",0.2724689190830165,1355,1
"being",0.2748011800204595,8061,6
"idea",0.2751083348416449,2684,2
"today",0.27985248084706266,5277,4
"member",0.2803305887300587,1317,1
"both",0.28035424132782544,11852,9
"other",0.2806446217960496,24995,19
"seen",0.28175684458724554,3931,3
"aid",0.2820438390813502,1309,1
"sets",0.2831252955195456,1304,1
"beach",0.28421507725749606,1299,1
"favorite",0.2857549422271574,1292,1
"because",0.28858419908089167,23028,18
"many",0.2885917184065406,12793,10
"famous",0.2923162196021278,1263,1
"contain",0.29371152375297327,1257,1
"shown",0.29394537050755365,5024,4
"square",0.2955927825119995,1249,1
"network",0.2963044826304072,1246,1
"author",0.2963044826304072,1246,1
"front",0.2973784819633406,2483,2
"unless",0.2974982960173146,1241,1
"used",0.30239196125109885,14651,12
"11",0.3034898358877825,4866,4
"dog",0.30386451469752046,1215,1
"or",0.3043097782047245,65514,54
"more",0.3068269144732195,31285,26
"money",0.30838238001794804,5986,5
"really",0.31394165421555054,17640,15
"design",0.31528213950255113,2342,2
"under",0.315641537780696,7018,6
"york",0.3161460741201296,5839,5
"couple",0.3178608569586633,2323,2
"student",0.32131887324411434,1149,1
"range",0.3218791502680797,2294,2
"texas",0.32258225020313447,2289,2
"rich",0.32272323894885263,1144,1
"view",0.3258564742784531,2266,2
"cars",0.32788222500664954,1126,1
"15",0.3300808094389695,4474,4
"about",0.3314042536346795,33421,30
"23",0.3314141699797912,2228,2
"located",0.3338113791659018,1106,1
"37",0.3338113791659018,1106,1
"alcohol",0.3338113791659018,1106,1
"plants",0.3341134709117533,1105,1
"course",0.3364886851599411,5486,5
"figures",0.3380910122321313,1092,1
"were",0.3380975997467395,51323,47
"such",0.3383054916224245,14187,13
"well",0.33866697647784194,30524,28
"married",0.3399589183770602,1086,1
"spanish",0.3412156981122804,1082,1
"had",0.342575964143658,29098,27
"third",0.34295902030421493,2153,2
"gun",0.3437573420460776,1074,1
"14",0.34493495984816636,3211,3
"dictionary",0.3456885630688084,1068,1
"within",0.3484290160036687,5298,5
"wide",0.3522856730510376,1048,1
"ancient",0.3526221445630252,1047,1
"bank",0.3526221445630252,1047,1
"exactly",0.3541442545395562,2085,2
"extra",0.3598395568786427,1026,1
"woman",0.3598395568786427,2052,2
"killed",0.36089480484602876,1023,1
"museum",0.36231146747545373,2038,2
"save",0.3673585923955099,1005,1
"across",0.36809111202142314,3009,3
"few",0.3699352558692259,5988,6
"combination",0.3703063042702983,997,1
"highest",0.37067809774848137,996,1
"russia",0.3729246316742297,990,1
"five",0.3751223179815966,4921,5
"shopping",0.3833804624688342,963,1
"17",0.383778986858095,2886,3
"israel",0.3845785264140493,960,1
"almost",0.3864908509369143,3821,4
"set",0.39521361501247537,5605,6
"helped",0.3974116096420747,929,1
"classes",0.3974116096420747,929,1
"original",0.39999500038731034,1846,2
"core",0.40173600147713534,919,1
"forward",0.40217362239377713,918,1
"eight",0.4054864199423255,1821,2
"works",0.4054864199423255,1821,2
"quickly",0.4057092146785576,910,1
"these",0.40592398927605816,24557,27
"his",0.40615553944718086,30906,34
"perhaps",0.40690160032052247,2722,3
"space",0.4072756595228763,1813,2
"message",0.4079507020524722,905,1
"collection",0.4081762137727887,1809,2
"of",0.41165908048670236,434971,485
"subsequent",0.41297022970636177,894,1
"language",0.4131242655995756,2681,3
"absolutely",0.41436070186025525,891,1
"county",0.4148262756825701,890,1
"raise",0.4171699269576129,885,1
"production",0.4176418386396916,1768,2
"france",0.4185888722874007,882,1
"three",0.41889110252009915,9695,11
"dad",0.42193758326569986,875,1
"gas",0.4248508462111477,869,1
"pieces",0.4258308942992934,867,1
"middle",0.4268154744017196,1730,2
"mouse",0.42755690255644163,1727,2
"mark",0.427804618027216,863,1
"manner",0.42879835697733726,861,1
"goal",0.4292969597180086,860,1
"agreed",0.43029765193180347,858,1
"44",0.43231309760829906,854,1
"gift",0.43537191669515024,848,1
"reached",0.4384743294031917,842,1
"express",0.4389957019708531,841,1
"street",0.4389957019708531,3364,4
"plays",0.4410936503673684,837,1
"hall",0.4426803181744453,834,1
