word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"re",0.005223845248485863,20167,2
"expression",0.0065272172940653295,8070,1
"cell",0.0069860269977595766,7540,1
"report",0.00952869818435369,5528,1
"actually",0.010708404871540395,4919,1
"fig",0.010712760537544684,4917,1
"large",0.011574300936740762,4551,1
"health",0.012103548612846326,4352,1
"present",0.012872591291081918,4092,1
"additional",0.013406628547494836,3929,1
"service",0.014009213713592343,3760,1
"available",0.014031604571951841,3754,1
"using",0.015007020958150201,10530,3
"security",0.015019858443999775,3507,1
"according",0.015352562973799827,3431,1
"groups",0.015889786896864922,3315,1
"states",0.01604466754892087,6566,2
"per",0.016287768572389366,3234,1
"value",0.016872083140008716,3122,1
"form",0.01700279004619342,3098,1
"include",0.017247754932255145,3054,1
"century",0.017350014348849543,3036,1
"usually",0.017664199719351847,2982,1
"members",0.01828980679274556,2880,1
"related",0.01926651191042692,2734,1
"studies",0.019509127245595264,5400,2
"interview",0.020243906058073486,2602,1
"particular",0.0204720728966604,2573,1
"minutes",0.022076548014713836,2386,1
"design",0.02249130809697148,2342,1
"haven",0.023133352465132723,2277,1
"president",0.023362497145080072,6764,3
"determined",0.023547002039833353,2237,1
"parents",0.02408534227851267,2187,1
"patient",0.024262848255691943,2171,1
"clinton",0.024431652858584053,8624,4
"museum",0.025846243161485382,2038,1
"los",0.02602502152327431,2024,1
"points",0.02619325885783551,2011,1
"model",0.026443094158186353,3984,2
"human",0.026518531748501696,5959,3
"husband",0.026576510374927958,1982,1
"building",0.027151878125312997,1940,1
"positive",0.02730670998605869,1929,1
"volume",0.027563916045582008,1911,1
"term",0.027621732335137497,1907,1
"changes",0.027781985001638823,3792,2
"modern",0.027870181779421802,1890,1
"internet",0.028018427427184685,1880,1
"force",0.02822864070906067,1866,1
"stuff",0.02868989300822833,3672,2
"rate",0.028950065162466176,3639,2
"industry",0.029214999203054468,1803,1
"example",0.029274533288129234,5398,3
"simply",0.0296758555285111,1775,1
"directly",0.03006543582369133,1752,1
"received",0.03009979632177555,1750,1
"uh-huh",0.030166833730064575,15715,9
"office",0.030272783656958163,3480,2
"1998",0.030536025253975196,1725,1
"signal",0.030553737565607433,1724,1
"angeles",0.030821909633181516,1709,1
"credit",0.031186881920134524,1689,1
"information",0.03145130377544018,8374,5
"visit",0.0320991124699008,1641,1
"comments",0.03213828161263405,1639,1
"less",0.03238527117313693,6506,4
"effects",0.03281909256268362,3210,2
"direct",0.03298349628247164,1597,1
"entire",0.033572111894905804,1569,1
"base",0.033939847656641244,1552,1
"senate",0.035328399438703695,1491,1
"critics",0.03544727023089314,1486,1
"clearly",0.03547114044653684,1485,1
"defined",0.03578440459450218,1472,1
"site",0.03602916796382162,4386,3
"vote",0.03655422870444636,1441,1
"defense",0.03655422870444636,1441,1
"common",0.036566916739401045,2881,2
"practice",0.03673266636199945,1434,1
"effect",0.03736673698021319,4229,3
"contains",0.03762474540221944,1400,1
"continue",0.03773255269563554,1396,1
"includes",0.03778668835230073,1394,1
"reference",0.03797739261939957,1387,1
"major",0.03848610099593805,4106,3
"culture",0.03878839732187571,2716,2
"apparently",0.03904717832698829,1349,1
"features",0.03916330376439198,1345,1
"total",0.039535634398129,3997,3
"among",0.03964971288152594,5314,4
"bradley",0.03996558692193263,1318,1
"member",0.03999593284973972,1317,1
"quality",0.040332805178489445,2612,2
"drug",0.04076984795906131,2584,2
"uh",0.04081662815029095,67107,52
"probably",0.04085839556555011,6446,5
"order",0.04094945081350651,3859,3
"department",0.04120034694024811,2557,2
"bush",0.0412325977010624,2555,2
"male",0.04272071659619401,1233,1
"huge",0.04272071659619401,1233,1
"temperature",0.04289466088200913,1228,1
"50",0.04305829174095957,3670,3
"decided",0.04307002744326019,1223,1
"against",0.04330371881215653,6082,5
"degree",0.04393214642460985,1199,1
"content",0.044079199634399345,1195,1
"responses",0.04426440635555228,1190,1
"34",0.04494423512210513,1172,1
"costs",0.04494423512210513,2344,2
"terms",0.04504031087054913,2339,2
"similar",0.045117467720006174,4670,4
"lawyers",0.045136798254590584,1167,1
"likely",0.045149694482663316,3500,3
"private",0.045194889372035356,2331,2
"understanding",0.045724516981863896,1152,1
"press",0.045784131736729426,2301,2
"student",0.04584390214369644,1149,1
"provided",0.045883835856365164,2296,2
"central",0.045883835856365164,2296,2
"generation",0.045883835856365164,1148,1
"tend",0.04600405551363075,1145,1
"strategy",0.04604426884886994,1144,1
"test",0.046440064856166814,4537,4
"laws",0.04645030296570301,1134,1
"library",0.04665601732781861,1129,1
"located",0.04762626000280941,1106,1
"plants",0.04766936069059476,1105,1
"otherwise",0.04775579652140273,1103,1
"themselves",0.047820829380941635,2203,2
"represent",0.04810469731790613,1095,1
"figures",0.04823685307976851,1092,1
"either",0.04843200033386098,5438,5
"claim",0.048772818113988155,1080,1
"control",0.04887086150899076,6467,6
"imagine",0.049136794368570165,1072,1
"variation",0.049506243950288735,1064,1
"file",0.04952951910024186,2127,2
"thirty",0.050023403193834005,1053,1
"successful",0.050023403193834005,1053,1
"international",0.050310070260847384,2094,2
"character",0.05064869573375694,1040,1
"e-mail",0.050795220408010815,1037,1
"united",0.05098203984040574,5166,5
"iii",0.05128981846456398,1027,1
"expect",0.051641807414810996,1020,1
"agreement",0.05179414312989893,1017,1
"channel",0.05205004304654862,1012,1
"error",0.05210152676865204,1011,1
"contributions",0.052464784425405586,1004,1
"japanese",0.052674643563107214,1000,1
"including",0.0539588645391387,4881,5
"eventually",0.05396992168351149,976,1
"feature",0.05402527544934072,975,1
"problems",0.05424783065201566,2913,3
"purpose",0.054926635623678007,959,1
"difficult",0.05521451107243942,1908,2
"whether",0.0552724486496403,5718,6
"developed",0.05562264367804352,1894,2
"exchange",0.055740363558843604,945,1
"advantage",0.0559178806402412,942,1
"mccain",0.05597730453040086,941,1
"secretary",0.056396834650007714,934,1
"least",0.056619108093630105,5582,6
"classes",0.056700369820352224,929,1
"attempt",0.05676146935679656,928,1
"war",0.05745489044841536,4584,5
"ideas",0.0576309010537278,914,1
"works",0.057852436642621866,1821,2
"foreign",0.058139783182237545,1812,2
"toward",0.058236200733120184,1809,2
"laboratory",0.058657732252903355,898,1
"question",0.05880507235624584,3583,4
"temple",0.058854350349840455,895,1
"powerful",0.059251567562550296,889,1
"numbers",0.059251567562550296,1778,2
"emergency",0.05951937125774827,885,1
"fold",0.05951937125774827,885,1
"trials",0.06040670133383854,872,1
"based",0.06046217121568779,4356,5
"writes",0.06047605460747097,871,1
"washed",0.06068507322938619,868,1
"furthermore",0.061249585538496756,860,1
"vice",0.0616077702492482,855,1
"able",0.06164381926636303,3418,4
"demand",0.061752219886409394,853,1
"frequently",0.06204316085171638,849,1
"identical",0.06204316085171638,849,1
"gift",0.06211632495649435,848,1
"homes",0.06226317206041041,846,1
"served",0.06263334549715484,841,1
"indeed",0.06304565357642994,1671,2
"don",0.06307261459831516,23384,28
"which",0.063363757418781,29927,36
"lower",0.06374503053219913,2479,3
"medicine",0.06392553830474176,824,1
"mail",0.06435509292988052,1637,2
"indicates",0.06455225926851374,816,1
"chinese",0.06455225926851374,1632,2
"account",0.06515107428955746,1617,2
"sort",0.06517122618386292,3233,4
"worked",0.06523175673449809,1615,2
"several",0.06528372962849689,5648,7
"describe",0.06567910668716609,802,1
"onto",0.06584330445388402,800,1
"confidence",0.06642451899509105,793,1
"60",0.0668459943694254,1576,2
"restaurants",0.0668459943694254,788,1
"islands",0.06727285257101814,783,1
"university",0.06793806134536613,2326,3
"britain",0.06849758590781171,769,1
"length",0.06854215167613169,1537,2
"41",0.06858677547279585,768,1
"remained",0.06858677547279585,768,1
"closely",0.06858677547279585,768,1
"situation",0.06867619760509414,1534,2
"germany",0.06885574321974798,765,1
"papers",0.06930874153040423,2280,3
"greater",0.06967545444855451,2268,3
"oct",0.06986026997759577,754,1
"forced",0.06986026997759577,754,1
"copy",0.07004606856796171,752,1
"entirely",0.07004606856796171,752,1
"intended",0.07032662692003633,749,1
"markets",0.07042064647474225,748,1
"american",0.07056214810864998,5972,8
"parties",0.07089454046178628,743,1
"fact",0.07090817402725968,5200,7
"stock",0.07094228089307368,1485,2
"pictures",0.07108588874913253,741,1
"starr",0.07132653156818851,1477,2
"cost",0.0713555182377502,3691,5
"ti",0.07137485577656803,738,1
"essentially",0.0721570459768592,730,1
"murder",0.07235527961965277,728,1
"screen",0.07255460545882536,726,1
"false",0.07255460545882536,726,1
"explains",0.0726546807766996,725,1
"43",0.07295657003200445,722,1
"shown",0.07339221834031656,5024,7
"post",0.07387748045316579,3565,5
"action",0.07401589259453004,2135,3
