word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"re",0.0029021892645456266,20167,1
"data",0.00450461409205662,12993,1
"clinton",0.0067866942136006105,8624,1
"study",0.006794572892743401,8614,1
"information",0.006989306293060863,8374,1
"gene",0.0074988406019335895,7805,1
"several",0.010362686065526145,5648,1
"national",0.010852670294472773,5393,1
"also",0.011017638646165308,21249,4
"using",0.011116514890425767,10530,2
"actually",0.011898444988430911,4919,1
"large",0.012860569303030468,4551,1
"general",0.01303819356161543,4489,1
"site",0.0133443800497245,4386,1
"order",0.015166740320832253,3859,1
"support",0.01550422540346799,3775,1
"service",0.015566077366513739,3760,1
"25",0.016101362007728104,3635,1
"results",0.016208377429546294,7222,2
"office",0.016818520373014845,3480,1
"center",0.017033891413879995,3436,1
"specific",0.01720413018756369,3402,1
"system",0.017458150901742478,6705,2
"10",0.01748335683503684,10043,3
"14",0.018227483929645488,3211,1
"especially",0.01887405704549876,3101,1
"18",0.019151980005920045,3056,1
"include",0.019164522232512003,3054,1
"american",0.01960095475488669,5972,2
"usually",0.01962724711538956,2982,1
"ml",0.02021708148466033,2895,1
"social",0.02021708148466033,2895,1
"public",0.02031532485181939,5762,2
"performed",0.02055072011871196,2848,1
"involved",0.020652240966157958,2834,1
"um",0.02137342434768491,21907,8
"19",0.02170936606012302,2696,1
"america",0.021806427309274092,2684,1
"language",0.021830828384219195,2681,1
"previously",0.02210288931196815,2648,1
"potential",0.022467735469516952,2605,1
"particular",0.02274716319397266,2573,1
"systems",0.02318876818466389,2524,1
"itself",0.02319795913519289,2523,1
"cell",0.023287182054943633,7540,3
"table",0.0238405095307909,4910,2
"presence",0.024468415927295845,2392,1
"ve",0.024679928694114135,14229,6
"domain",0.02486340310029382,2354,1
"design",0.024990798846324363,2342,1
"don",0.025029272535961197,23384,10
"structure",0.025044266537480382,2337,1
"press",0.02543609339334709,2301,1
"provided",0.025491485582792534,2296,1
"range",0.02551371006891528,2294,1
"texas",0.02556944119619557,2289,1
"papers",0.025670373200917397,2280,1
"haven",0.0257041945094825,2277,1
"sample",0.02581757869346787,2267,1
"considered",0.025851789265941547,2264,1
"technology",0.025931967611028648,2257,1
"species",0.026117113296783425,2241,1
"15",0.02616381354407316,4474,2
"area",0.028233695561066887,4146,2
"suggest",0.02841186936800566,2060,1
"present",0.02860628098635956,4092,2
"points",0.029104152609692523,2011,1
"added",0.029191247330719032,2005,1
"husband",0.029529995407715268,1982,1
"experience",0.03027855711230815,1933,1
"27",0.030918357579551855,1893,1
"movie",0.03100023882314177,3776,2
"events",0.03129863684389929,1870,1
"ability",0.03156874374222851,1854,1
"toward",0.032354035875119765,1809,1
"industry",0.032461703215802364,1803,1
"example",0.032527853407609296,5398,3
"controls",0.032642750082594346,1793,1
"staff",0.0327890481221802,1785,1
"march",0.03295520883901558,1776,1
"response",0.03323591760255063,3522,2
"reading",0.03338759321054858,1753,1
"received",0.0334448290846238,1750,1
"provide",0.03397878136318819,3445,2
"following",0.034018280091887045,3441,2
"followed",0.03402816912679748,1720,1
"daily",0.03408762428543487,1717,1
"1999",0.0347762631598881,1683,1
"nearly",0.034921510082393595,1676,1
"mail",0.03575348252785074,1637,1
"chinese",0.0358630213836346,1632,1
"schools",0.0358630213836346,1632,1
