word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"um",0.0019075380254126916,21907,1
"uh-huh",0.002659143208572436,15715,1
"ve",0.002936849780217572,14229,1
"study",0.004851223069737153,8614,1
"analysis",0.00512678634802059,8151,1
"cell",0.005542232827946397,7540,1
"similar",0.008948273131202533,4670,1
"federal",0.009166140715664801,4559,1
"large",0.009182253465769244,4551,1
"however",0.010201009525867406,8193,2
"level",0.010598132265461788,3943,1
"during",0.010789681260706386,7746,2
"support",0.011069784244428036,3775,1
"service",0.011113945617743572,3760,1
"cases",0.011578951377865288,3609,1
"evidence",0.011848152969298505,3527,1
"response",0.01186497317510387,3522,1
"likely",0.011939553006490237,3500,1
"office",0.012008171127217191,3480,1
"political",0.012179666430403914,3431,1
"government",0.012418554390108718,6730,2
"result",0.013402320565335418,3118,1
"include",0.01368318124515908,3054,1
"involved",0.014745390092701422,2834,1
"culture",0.015386021915580202,2716,1
"expression",0.015534734395061648,8070,3
"idea",0.015569461819193678,2684,1
"average",0.015721759037891584,2658,1
"program",0.015958921337680287,5237,2
"interview",0.01606012126161254,2602,1
"normal",0.01622851864959838,2575,1
"bush",0.016355552063685257,2555,1
"mice",0.016911548167833197,2471,1
"including",0.017122899210291264,4881,2
"presence",0.017470081740265816,2392,1
"design",0.017843055304319313,2342,1
"structure",0.017881230433340105,2337,1
"article",0.01793495086811838,2330,1
"central",0.01820053811964975,2296,1
"range",0.018216406069187372,2294,1
"haven",0.0183524091008853,2277,1
"military",0.018589161709393162,2248,1
"college",0.018597434589548656,2247,1
"2000",0.018857597257543244,2216,1
"site",0.019055374155365176,4386,2
"click",0.019674404671711783,2124,1
"effect",0.019762797598825172,4229,2
"30",0.019772148342898428,4227,2
"reported",0.020066475641160063,4165,2
"distribution",0.020697590650181192,2019,1
"washington",0.02076444001128737,4025,2
"products",0.021386098015719463,1954,1
"organization",0.021878762053777923,1910,1
"term",0.02191318066214779,1907,1
"stories",0.022760585796686182,1836,1
"consider",0.023228702347257272,1799,1
"national",0.023245931127043852,5393,3
"controls",0.023306433643455568,1793,1
"numbers",0.02350305709939023,1778,1
"directly",0.023851846759540996,1752,1
"further",0.02397500603712899,3486,2
"function",0.024023245485895846,3479,2
"angeles",0.024451980996322897,1709,1
"lack",0.024726884924683924,1690,1
"appropriate",0.02477085685993825,1687,1
"attention",0.024978144365042337,1673,1
"designed",0.02528036026782567,1653,1
"earlier",0.025310984568574092,1651,1
"states",0.025457469096994107,6566,4
"visit",0.02546522579080794,1641,1
"chinese",0.025605659021271956,1632,1
"schools",0.025605659021271956,1632,1
"account",0.025843188325736444,1617,1
"unit",0.026298574904163517,1589,1
"current",0.026481898303368712,3156,2
"base",0.026925538352265355,1552,1
"levels",0.027129475561165874,4621,3
"phase",0.02722373649688328,1535,1
"impact",0.027510490798364602,1519,1
"usually",0.02802711973354516,2982,2
"larger",0.028064765293966308,1489,1
"alternative",0.028102512120185493,1487,1
"stock",0.02814036062135746,1485,1
"individual",0.028168813968800693,2967,2
"don",0.028592839906066255,23384,16
"taxes",0.028740327044508823,1454,1
"health",0.02880636639893095,4352,3
"prior",0.028899333003261293,1446,1
"suggested",0.02893935978027412,1444,1
"planning",0.029120860991439606,1435,1
"noted",0.029511607007567678,1416,1
"knowledge",0.029574264347286505,1413,1
"negative",0.02974265873502906,1405,1
"area",0.03023765233192173,4146,3
"course",0.03046914730055839,5486,4
"infection",0.030636682934542397,1364,1
"variety",0.030636682934542397,1364,1
"allowed",0.030636682934542397,1364,1
"insurance",0.030681670721524106,1362,1
"perhaps",0.030704214197439992,2722,2
"claims",0.030726790825526346,1360,1
"language",0.031173767640966677,2681,2
"member",0.03173001937943495,1317,1
"using",0.031748099162557136,10530,8
"quality",0.031997270691206614,2612,2
"absence",0.03209557259809204,1302,1
"dallas",0.03216969632233705,1299,1
"increasing",0.032269062179703344,1295,1
"surface",0.032269062179703344,1295,1
"patterns",0.03257087725854702,1283,1
"pattern",0.03269830635580268,1278,1
"art",0.03269830635580268,2556,2
"effort",0.03295617943431848,1268,1
"contain",0.03324457877702135,1257,1
"network",0.03353807024295011,1246,1
"lower",0.03371394556088409,2479,2
"huge",0.033891675200904976,1233,1
"state",0.03426217725284163,7318,6
"actual",0.034337251867473974,1217,1
"european",0.03445048270627851,1213,1
"25",0.03448839245341059,3635,3
"degree",0.03485274021911245,1199,1
"method",0.0348672803693916,2397,2
"information",0.0349318185644866,8374,7
"police",0.035057412351271675,1192,1
"34",0.035655661708801904,1172,1
"terms",0.03573188159274547,2339,2
"university",0.03593158686390011,2326,2
"forms",0.036243222482841134,1153,1
"press",0.03632197785546791,2301,2
"provide",0.03639050988915747,3445,3
"according",0.036538999291211745,3431,3
"papers",0.03665652238834722,2280,2
"problem",0.036664562862659206,4559,4
"th",0.036818004865828924,1135,1
"test",0.03684235003104768,4537,4
"library",0.037013671853601264,1129,1
"95",0.03744483469777404,1116,1
"british",0.03746161857706484,2231,2
"attack",0.037613353305774824,1111,1
"capital",0.03768118622427036,2218,2
"newspaper",0.037783395590158975,1106,1
"located",0.037783395590158975,1106,1
"unique",0.037783395590158975,1106,1
"parents",0.03821530454752248,2187,2
"based",0.03837321902912381,4356,4
"increases",0.03837321902912381,1089,1
"either",0.03842261449311864,5438,5
"probably",0.03889708550051117,6446,6
"create",0.039054612638052176,1070,1
"action",0.039146075431115535,2135,2
"ensure",0.03916441942147688,1067,1
"figure",0.0392748454160863,7448,7
"file",0.039293310317551323,2127,2
"local",0.03934880934342357,3186,3
"re",0.03937027197558391,20167,19
"uh",0.03985366464681498,67107,64
"candidates",0.03987446137663724,1048,1
"basically",0.03987446137663724,1048,1
"ancient",0.03991254586696832,1047,1
"international",0.03991254586696832,2094,2
"indicated",0.040142589358996957,1041,1
"oil",0.04037530002194766,1035,1
"united",0.04044564026588834,5166,5
"opportunity",0.040492670080151,1032,1
"major",0.040709630319255556,4106,4
"offers",0.04080901906515218,1024,1
"present",0.040848910579389865,4092,4
"expect",0.04096905443403513,1020,1
"museum",0.041009259590496394,2038,2
"agreement",0.04108990710198214,1017,1
"century",0.04129292047699193,3036,3
"error",0.04133376411742417,1011,1
"strain",0.04145678127253555,1008,1
"added",0.04168422496031504,2005,2
"pathway",0.0421254390349958,992,1
"husband",0.04216794704613101,1982,2
"russia",0.04221054093203619,990,1
"rat",0.04238178044900186,986,1
"market",0.043125320456879085,2907,3
"religious",0.04321451450125732,967,1
"experience",0.04323687069085962,1933,2
"setting",0.04343912216498527,962,1
"continued",0.043484324165156955,961,1
"monica",0.043666076826244335,957,1
"20",0.043704133368711,5737,6
"particularly",0.04373462639740014,1911,2
"volume",0.04373462639740014,1911,2
"agents",0.0439415725790913,951,1
"previous",0.04412717584236096,1894,2
"disease",0.04415826226422948,2839,3
"virus",0.04459811688656972,937,1
"regular",0.04464576444734597,936,1
"sex",0.045274578031111415,1846,2
"source",0.04547163821840678,1838,2
"ideas",0.045720388974524975,914,1
"29",0.04574541381797025,1827,2
"works",0.04589614005789767,1821,2
"28",0.04607324754433939,1814,2
"identity",0.04627733723445829,903,1
"evaluation",0.04653500615001763,898,1
"village",0.04674321646836223,894,1
"absolutely",0.046900601035595776,891,1
"france",0.047379178597183484,882,1
"theater",0.047540882278402544,879,1
"decision",0.047540882278402544,1758,2
"occurred",0.04770369351908199,876,1
"movement",0.04770369351908199,876,1
"trials",0.047922517801279624,872,1
"writes",0.04797753791356582,871,1
"japan",0.048032684508868766,870,1
"mouse",0.048394250750105186,1727,2
"enjoy",0.048534768319066,1722,2
"manner",0.048534768319066,861,1
"agreed",0.0487044703061956,858,1
"obvious",0.048989959581144,853,1
"responsibility",0.04904745953370402,852,1
"latter",0.0495710978917151,843,1
"native",0.04974813752704265,840,1
"necessary",0.04980743208905344,1678,2
"10",0.04993141753187195,10043,12
"cities",0.05004603056612674,835,1
"camp",0.05046912502743458,828,1
"public",0.05076692965272662,5762,7
"career",0.050961506735019306,820,1
"comments",0.05099259978366788,1639,2
"rights",0.05111735232136493,1635,2
"users",0.05133714437680078,814,1
"recognized",0.05140028969583743,813,1
"reporter",0.05146359054521654,812,1
"allows",0.05146359054521654,812,1
"ca",0.05155883469798375,1621,2
"series",0.05159066113915535,1620,2
"institute",0.05159066113915535,810,1
"risk",0.05165443204291203,3236,4
"per",0.05168637665147289,3234,4
"fishing",0.05178244798353882,807,1
"trial",0.0521703314890335,1602,2
"reflect",0.052235544403394785,800,1
"code",0.052300920554087395,799,1
"100",0.0523172901692843,3195,4
"repeated",0.05276317616504524,792,1
"appears",0.05276317616504524,1584,2
