word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"yeah",0.01561822773004286,46028,2
"work",0.032370127249568295,11104,1
"however",0.043871340532064734,8193,1
"expression",0.04454001152158691,8070,1
"being",0.044589739855998796,8061,1
"state",0.049116957225909585,7318,1
"says",0.054775661837733365,6562,1
"probably",0.055761385817438155,6446,1
"public",0.06238075199222602,5762,1
"most",0.06276929267929561,17179,3
"least",0.06439231332483095,5582,1
"report",0.06502132651577539,5528,1
"course",0.06551912012016156,5486,1
"example",0.06658723471270958,5398,1
"lot",0.06734830297530567,10674,2
"among",0.06763979920572193,5314,1
"united",0.06957760220271127,5166,1
"use",0.07265775075383189,9894,2
"actually",0.07307133421004398,4919,1
"fig",0.07310105612755874,4917,1
"12",0.07746506314207034,4640,1
"large",0.07897998087875333,4551,1
"15",0.08033926977630897,4474,1
"next",0.0828770793127061,4337,1
"between",0.08371350663284054,12881,3
"possible",0.08562122272015397,4198,1
"often",0.08572332291419182,4193,1
"age",0.08979212914794063,4003,1
"total",0.08992691843362681,3997,1
"additional",0.09148330185268679,3929,1
"during",0.0928060658350649,7746,2
"which",0.09608390897295589,29927,8
"figure",0.09651930531127989,7448,2
"cost",0.097382252229533,3691,1
"pay",0.09863828018090184,3644,1
"25",0.09888250150734701,3635,1
"following",0.10445739406544793,3441,1
"become",0.10500668798691393,3423,1
"10",0.10736967827717007,10043,3
"role",0.10885460114452039,3302,1
"death",0.10965158419133811,3278,1
"14",0.11193954935509386,3211,1
"history",0.11242974444141582,3197,1
"programs",0.11407105457924671,3151,1
"page",0.11410726761244645,3150,1
"interesting",0.11479971030955169,3131,1
"family",0.11531533300584099,6234,2
"24",0.11587295067027928,3102,1
"form",0.1160225606776005,3098,1
"bill",0.11613502196420238,3095,1
"18",0.11761711157696543,3056,1
"century",0.11839192785876362,3036,1
"money",0.12009284763755643,5986,2
"both",0.12130877252082564,11852,4
"trying",0.12280078338886448,2927,1
"job",0.12441602387649926,2889,1
"north",0.12580955302037325,2857,1
"working",0.12727970714561132,2824,1
"review",0.12814185132948533,2805,1
"19",0.13332266060059583,2696,1
"america",0.13391873806974902,2684,1
"idea",0.13391873806974902,2684,1
"performance",0.13512702743579186,2660,1
"rule",0.13682447391671348,2627,1
"21",0.13808601343803548,2603,1
"gene",0.13815678141417287,7805,3
"don",0.13833993486199356,23384,9
"due",0.1395875312540607,2575,1
"table",0.14641054703837328,4910,2
"22",0.14676924988942686,2449,1
"house",0.14906188539364376,7234,3
"complex",0.149206265246661,2409,1
"party",0.15413288721235266,2332,1
"press",0.15620942763111967,2301,1
"whatever",0.15661781829159319,2295,1
"food",0.1577866079803364,2278,1
"greater",0.15848231612839786,2268,1
"view",0.15862219460688717,2266,1
"british",0.16111066471501853,2231,1
"different",0.16537285161224127,8694,4
"mother",0.1681187525627719,2138,1
"file",0.1689881960409997,2127,1
"exactly",0.1723922748101709,2085,1
"reported",0.17259922832134758,4165,2
"case",0.17333446052686372,6221,3
"going",0.17652386454140376,10181,5
"year",0.17854057867037867,10066,5
"washington",0.17860267974122054,4025,2
"small",0.17950951871776577,6007,3
"american",0.18056156713623894,5972,3
"husband",0.18135110644763186,1982,1
"published",0.18199386986288932,1975,1
"school",0.1835740005001054,5874,3
"hundred",0.18385569973360938,1955,1
"also",0.18607072439979622,21249,11
"cut",0.18808890265787878,1911,1
"almost",0.18813812770437394,3821,2
"has",0.18836818568217642,34347,18
"background",0.18848342578878152,1907,1
"whether",0.18858231530913241,5718,3
"27",0.18987738667681267,1893,1
"leads",0.19314233905384542,1861,1
"okay",0.19432576661337522,5549,3
"strong",0.1948172861675915,1845,1
"source",0.19555924536409486,1838,1
"stuff",0.19577227286449148,3672,2
"stories",0.19577227286449148,1836,1
"china",0.19577227286449148,1836,1
"agree",0.19652153798753766,1829,1
"29",0.19673666829732148,1827,1
"children",0.19800104277224,5446,3
