word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"re",0.0036903574891438617,20167,1
"clinton",0.008629805134921646,8624,1
"however",0.009083783654774108,8193,1
"government",0.01105846054733496,6730,1
"probably",0.011545677859690393,6446,1
"human",0.012489249787475124,5959,1
"actually",0.015129790502859172,4919,1
"similar",0.015936496677422755,4670,1
"general",0.016579068719885112,4489,1
"study",0.017279646966232704,8614,2
"type",0.01729570984977092,4303,1
"effect",0.0175983540987383,4229,1
"reported",0.017868772985249522,4165,1
"level",0.018874826143435015,3943,1
"additional",0.018942081823253822,3929,1
"reports",0.020536269173168947,3624,1
"office",0.02138604582861042,3480,1
"president",0.02200574792535904,6764,2
"compared",0.023034181208159785,3231,1
"standard",0.02343307288525323,3176,1
"include",0.024369168134762365,3054,1
"century",0.024513649368762932,3036,1
"tax",0.02550494841794526,2918,1
"market",0.02560145837067914,2907,1
"ii",0.02648520978062785,2810,1
"issue",0.026522964890792682,2806,1
"review",0.02653242049324929,2805,1
"population",0.027432156094199876,2713,1
"united",0.028812791127976876,5166,2
"normal",0.028902306595558938,2575,1
"section",0.0289472732335917,2571,1
"department",0.029105764365883562,2557,1
"lower",0.03002155687114331,2479,1
"minutes",0.031191718140638838,2386,1
"court",0.031927687466136535,2331,1
"university",0.03199631964039736,2326,1
"haven",0.03268486582501724,2277,1
"site",0.033936816909970025,4386,2
"parents",0.03402992203180808,2187,1
"action",0.03485875385647038,2135,1
"gore",0.03557525787933283,2092,1
"law",0.03660769281041037,4066,2
"total",0.0372396494788913,3997,2
"husband",0.037549666742464315,1982,1
"uh-huh",0.0378865743473442,15715,8
"york",0.03823776647554253,5839,3
"during",0.03843193363468333,7746,4
"services",0.03847166683048037,3869,2
"previous",0.0392943186291258,1894,1
"27",0.03931507632517922,1893,1
"force",0.039883943989048376,1866,1
"sex",0.04031605605826884,1846,1
"popular",0.04069078156564476,1829,1
"29",0.04073532538782937,1827,1
"works",0.04086954392287988,1821,1
"28",0.04102725440108283,1814,1
"web",0.04111792236661009,1810,1
"address",0.041208991962106464,1806,1
"increase",0.0416005810416793,3578,2
"relative",0.041670458837382005,1786,1
"certainly",0.041670458837382005,1786,1
"production",0.04209470559025128,1768,1
"reading",0.0424548998765341,1753,1
"further",0.04269847359929103,3486,2
"function",0.042784386021019985,3479,2
"1998",0.04314402288902276,1725,1
"center",0.04331981343630051,3436,2
"daily",0.04334504338006073,1717,1
"according",0.04338294344713743,3431,2
"appropriate",0.04411585031627994,1687,1
"trade",0.04416821334336158,1685,1
"1999",0.044220700822082154,1683,1
"necessary",0.044352466915115775,1678,1
"television",0.04477944613932868,1662,1
"comments",0.04540783373005751,1639,1
"rights",0.04551892323153778,1635,1
"weight",0.046025627386248776,1617,1
"between",0.04622215013341465,12881,8
"entire",0.04743367717244376,1569,1
"critical",0.04743367717244376,1569,1
"resources",0.04749421792186616,1567,1
"gene",0.04767677096961196,7805,5
"don",0.047739975720726316,23384,15
"selection",0.04779925464583447,1557,1
"case",0.04785303937216799,6221,4
"base",0.04795324708992543,1552,1
"led",0.04829554801010011,1541,1
"women",0.04849485630988116,4604,3
"18",0.04870643945259441,3056,2
"against",0.04894668824963122,6082,4
"impact",0.04899502270149063,1519,1
"bin",0.04978156487194934,1495,1
