word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"ve",0.0033119651272882087,14229,1
"cells",0.003510574478261615,13424,1
"however",0.005751977516927123,8193,1
"during",0.006083908055278068,7746,1
"cell",0.006250126232915639,7540,1
"results",0.006525332566627517,7222,1
"states",0.007177269539473639,6566,1
"data",0.007254052458428988,12993,2
"20",0.00821438936659995,5737,1
"several",0.008343829992242195,5648,1
"important",0.008528040498766543,5526,1
"example",0.008730261540604653,5398,1
"national",0.008738355608415339,5393,1
"11",0.009684741429548688,4866,1
"15",0.010533292757305301,4474,1
"based",0.01081862988893111,4356,1
"study",0.010941711584904555,8614,2
"effect",0.011143521351663258,4229,1
"expression",0.011679294125448308,8070,2
"model",0.011828803161692752,3984,1
"support",0.012483695840048721,3775,1
"25",0.012964498430862153,3635,1
"likely",0.013464557656052548,3500,1
"office",0.013541940171317216,3480,1
"provide",0.013679521566381398,3445,1
"political",0.01373534007466742,3431,1
"government",0.014004740504066545,6730,2
"system",0.014056958030181631,6705,2
"10",0.014077253349452529,10043,3
"groups",0.014215973392514004,3315,1
"et",0.01438960360188822,3275,1
"13",0.01445138049560991,3261,1
"14",0.014676409777696643,3211,1
"methods",0.014713066436523235,3203,1
"current",0.014932177375216705,3156,1
"interesting",0.015051405875497898,3131,1
"18",0.01542079574482458,3056,1
"century",0.015522382014553334,3036,1
"which",0.015746968221400048,29927,10
"social",0.016278394402826916,2895,1
"public",0.016357498020195736,5762,2
"disease",0.016599489889462457,2839,1
"issue",0.01679470840918885,2806,1
"financial",0.017441136860171694,2702,1
"19",0.017479952446655758,2696,1
"previously",0.0177968095907039,2648,1
"united",0.01824465807053191,5166,2
"art",0.018437383331840345,2556,1
"lower",0.019010065266713966,2479,1
"approach",0.019409370591509028,2428,1
"method",0.019660388734327877,2397,1
"terms",0.020147905855572433,2339,1
"don",0.02015307552009234,23384,10
"12",0.02031291025697583,4640,2
"provided",0.020525240329348396,2296,1
"independent",0.02076033118774622,2270,1
"test",0.020774058539203846,4537,2
"greater",0.020778638358105787,2268,1
"23",0.021151683930064596,2228,1
"personal",0.021256631392054092,2217,1
"um",0.021511823524984673,21907,10
"parents",0.021548217556554148,2187,1
"patient",0.02170702524006629,2171,1
"file",0.022156065724581064,2127,1
"possible",0.02245162067469458,4198,2
"international",0.022505230084137497,2094,1
"information",0.022510605109235214,8374,4
"acid",0.023849165888757046,1976,1
"uh-huh",0.023990303173367568,15715,8
"products",0.024117682597842333,1954,1
"order",0.024423919044407317,3859,2
"uh",0.02457878183895029,67107,35
"volume",0.024660362007422252,1911,1
"difficult",0.02469913616152197,1908,1
"27",0.024894850394180625,1893,1
"available",0.025107060093864635,3754,2
"nuclear",0.025336533223754797,1860,1
"highly",0.025473487457396714,1850,1
"collection",0.026050830180311728,1809,1
"toward",0.026050830180311728,1809,1
"industry",0.026137521794888475,1803,1
"certainly",0.026386311196071623,1786,1
"staff",0.02640109344324029,1785,1
"numbers",0.026505034756008954,1778,1
"using",0.026852394185859784,10530,6
"received",0.026929115312105095,1750,1
"center",0.027430705352842796,3436,2
"society",0.02752684100244388,1712,1
"able",0.02757516196382909,3418,2
"identify",0.02810134275264396,1677,1
"shown",0.028140496693581162,5024,3
"television",0.02835496497965338,1662,1
"training",0.028423372615309965,1658,1
"role",0.028543883583394256,3302,2
"western",0.028561182906778133,1650,1
"americans",0.028700336051269135,1642,1
"drugs",0.028700336051269135,1642,1
"16",0.028744099906181104,3279,2
"software",0.028787997431999952,1637,1
"ca",0.02907214793102031,1621,1
"series",0.0290900937013481,1620,1
"animals",0.0290900937013481,1620,1
"per",0.029144064190589933,3234,2
"compared",0.029171124603023162,3231,2
"probably",0.029243531986462252,6446,4
"trial",0.029416948686756504,1602,1
"standard",0.02967629206308811,3176,2
"1996",0.029807686145593877,1581,1
"respectively",0.030093200380704926,1566,1
"value",0.030189591157068495,3122,2
"24",0.030384237134870352,3102,2
"writing",0.030443121315364287,1548,1
"length",0.030660996614303136,1537,1
"appear",0.03148026172089774,1497,1
"allow",0.031756032207671106,1484,1
"starr",0.031906534729982346,1477,1
"fish",0.032978272775496094,1429,1
"group",0.03317560844504324,5682,4
"involved",0.03325755243202817,2834,2
"testing",0.0336373674490963,1401,1
"status",0.03373368059855685,1397,1
"tested",0.03380627818951501,1394,1
"comment",0.034149240432017336,1380,1
"whereas",0.03417400420317906,1379,1
"course",0.0343608835553656,5486,4
"infection",0.034549818032392904,1364,1
"allowed",0.034549818032392904,1364,1
"board",0.03460055197957704,1362,1
"insurance",0.03460055197957704,1362,1
"created",0.03551315131588841,1327,1
"business",0.03561155047570573,3970,3
"quality",0.036084189736741136,2612,2
"sets",0.036139533586030614,1304,1
"muscle",0.03622286840598303,1301,1
"section",0.036659628001698884,2571,2
"500",0.03681714984076869,1280,1
"33",0.03719491065207886,1267,1
"behavior",0.03734227559127093,1262,1
"instance",0.037580503824708074,1254,1
"subject",0.03764053657842166,2504,2
"calculated",0.03764053657842166,1252,1
"also",0.037702535673920026,21249,17
"mice",0.038143222821678605,2471,2
"huge",0.03822056106746466,1233,1
"table",0.038391814090577535,4910,4
"decided",0.03853307587586584,1223,1
"presence",0.03940296972925077,2392,2
"post",0.03965718243718142,3565,3
"daughter",0.03986967157037557,1182,1
"36",0.0400050524585602,1178,1
"domain",0.04003904145810019,2354,2
"evidence",0.04008445006763588,3527,3
"northern",0.04014135587409192,1174,1
"plus",0.0402098564813856,1172,1
"costs",0.0402098564813856,2344,2
"conditions",0.04026138555846554,2341,2
"court",0.04043410707523287,2331,2
"forms",0.04087246469747088,1153,1
"press",0.040961279266565766,2301,2
"tend",0.04115803650321739,1145,1
"specific",0.04155727671621157,3402,3
"considered",0.04163069946659357,2264,2
"president",0.04180303234433819,6764,6
"college",0.04194566247991448,2247,2
"affect",0.04234137627689481,1113,1
"caused",0.04249409539782139,1109,1
"alcohol",0.042609359671052366,1106,1
"failure",0.04268655054002166,1104,1
"themselves",0.042783433314738016,2203,2
"figures",0.043155633512988935,1092,1
"computer",0.043394062427425335,2172,2
"leaders",0.04367558090471169,1079,1
"sort",0.0437296181220389,3233,3
"testimony",0.043878912286949644,1074,1
"german",0.04404294560391021,1070,1
"effects",0.04404294560391021,3210,3
"variation",0.044291308079120226,1064,1
"30",0.0445951755819105,4227,4
"thirty",0.0447539903097663,1053,1
"ancient",0.04501046016827499,1047,1
"debate",0.045226441263132355,1042,1
"form",0.04563520186848023,3098,3
"expected",0.04599897686303945,2049,2
"channel",0.04656714604366,1012,1
"strain",0.04675193630573802,1008,1
"contributions",0.04693819900018319,1004,1
"combination",0.04726775506136802,997,1
"usually",0.047410414281875174,2982,3
"person",0.047442233351863004,2980,3
"mutation",0.04750599979454024,992,1
"excellent",0.04769833177751409,988,1
"thousands",0.047843605884450684,985,1
"shopping",0.04893660622656689,963,1
"17",0.04898747587960906,2886,3
"uses",0.04929492865709615,956,1
"service",0.05013399127253608,3760,4
"weapons",0.05213047765064593,904,1
"months",0.05245931554306188,2695,3
"controls",0.05256659430695362,1793,2
"thursday",0.05265469474433958,895,1
"profile",0.05324966304653551,885,1
"theater",0.0536131419751808,879,1
"site",0.053723155262407576,4386,5
"depends",0.05398161717775935,873,1
