word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"these",0.022060360254145036,24557,1
"between",0.04205700386313482,12881,1
"different",0.0623115098643938,8694,1
"however",0.06612184386196017,8193,1
"during",0.06993755057591527,7746,1
"control",0.0837693314923519,6467,1
"people",0.08697002195553696,18687,3
"case",0.08708186252387715,6221,1
"guess",0.08869290549460375,6108,1
"few",0.09047031843036735,5988,1
"which",0.09050961786364146,29927,5
"school",0.09222612644893423,5874,1
"public",0.0940187897884484,5762,1
"several",0.09591647782596312,5648,1
"least",0.09705056731656031,5582,1
"course",0.0987488637916587,5486,1
"example",0.1003587007708484,5398,1
"city",0.10163907443921946,5330,1
"among",0.10194510100885203,5314,1
"shown",0.1078296709317356,5024,1
"week",0.11677867358504844,4639,1
"second",0.1194567291645071,4535,1
"15",0.12108544183304418,4474,1
"based",0.12436553415083555,4356,1
"country",0.12522798584397588,4326,1
"type",0.1258973429609667,4303,1
"given",0.1264261999442333,4285,1
"also",0.12747335563109785,21249,5
"30",0.12816093370263534,4227,1
"doing",0.13006873151525564,4165,1
"does",0.132567298852573,8173,2
"being",0.1344091965664408,8061,2
"age",0.1353325672648113,4003,1
"enough",0.13830387203498587,3917,1
"almost",0.1417786618060821,3821,1
"stuff",0.14753166306128532,3672,1
"company",0.14793453488832323,3662,1
"lot",0.15225864720658788,10674,3
"further",0.15540340411963272,3486,1
"following",0.1574357067018424,3441,1
"according",0.15789456915215377,3431,1
"become",0.15826358947152783,3423,1
"able",0.1584951043771327,3418,1
"specific",0.1592405252090064,3402,1
"going",0.1596315489915646,10181,3
"higher",0.1624396601982128,3335,1
"says",0.16511315658672346,6562,2
"13",0.16612581010764785,3261,1
"sort",0.16756457369657893,3233,1
"power",0.16829334164679705,3219,1
"six",0.16897575382440413,3206,1
"standard",0.1705718724058689,3176,1
"page",0.17197976722572686,3150,1
"family",0.17380053473244778,6234,2
"english",0.17407977723683793,3112,1
"especially",0.17469728047760066,3101,1
"form",0.17486645150453187,3098,1
"bill",0.1750359504882196,3095,1
"its",0.17717033579364969,21404,7
"include",0.1773858109892075,3054,1
"against",0.17814411929004922,6082,2
"american",0.18142540748862682,5972,2
"person",0.18179069354397304,2980,1
"human",0.18182120045680136,5959,2
"trying",0.18508242800172178,2927,1
"don",0.18533570535786512,23384,8
"job",0.1875168801526617,2889,1
"17",0.1877118041445044,2886,1
"members",0.18810287040313878,2880,1
"north",0.18961717422507512,2857,1
"although",0.1906850639778387,5682,2
"difference",0.1969950060949235,2750,1
"top",0.19836553158588052,2731,1
"idea",0.201839145589061,2684,1
"within",0.2045059519671724,5298,2
"rule",0.2062186017362161,2627,1
"instead",0.20637572067087226,2625,1
"drug",0.20965025803445808,2584,1
"due",0.21038301621787947,2575,1
"taken",0.21046475010141402,2574,1
"place",0.21340802314793764,5077,2
"child",0.2183539970822409,2481,1
"including",0.22197757294039733,4881,2
"11",0.22266184412702,4866,2
"showed",0.22302851657515013,2429,1
"main",0.22544164243072812,2403,1
"west",0.22829172640583215,2373,1
"included",0.22896714571472512,2366,1
"costs",0.2311161547615357,2344,1
"design",0.23131352124724153,2342,1
"any",0.23207322580081666,14006,6
"private",0.23240509084557684,2331,1
"12",0.23350701153493092,4640,2
"papers",0.23760362577238583,2280,1
"sample",0.23896615207809427,2267,1
"military",0.24098588379049807,2248,1
"23",0.24314913229849178,2228,1
"short",0.24479722854091263,2213,1
"former",0.24613187949161275,2201,1
"asked",0.24827509934053146,2182,1
"well",0.24847030974494022,30524,14
"deal",0.24941817070029448,2172,1
"paper",0.25091999386801284,4318,2
"number",0.254187104638611,8525,4
"file",0.25469500082794533,2127,1
"east",0.256261242554891,2114,1
"often",0.2584003180353158,4193,2
"international",0.2587088188925691,2094,1
"exactly",0.25982554760721327,2085,1
"wanted",0.26120360017407895,2074,1
"present",0.2647782339985531,4092,2
"even",0.2674108925553401,14181,7
"after",0.2692143878551241,14086,7
"small",0.27055248881024124,6007,3
"needs",0.27250315229428557,1988,1
"use",0.2737700964023851,9894,5
"month",0.27415802973736825,1976,1
"published",0.2742968439296404,1975,1
"about",0.2755607712198221,33421,17
"gene",0.2776354986603663,7805,4
"other",0.28175921055785225,24995,13
"20",0.2832854802654905,5737,3
"most",0.2838131672885126,17179,9
"movie",0.28693658197088967,3776,2
"set",0.28995696704426743,5605,3
"he",0.2908260726136302,44706,24
"leads",0.2910995522627833,1861,1
"okay",0.29288318621069004,5549,3
"source",0.2947422561267898,1838,1
"years",0.29481099800414196,12863,7
"stories",0.29506332612257063,1836,1
"popular",0.29619260074414416,1829,1
"ways",0.2970045322154823,1824,1
"works",0.29749383128008766,1821,1
"25",0.29806672173922405,3635,2
"children",0.29842247526315074,5446,3
"space",0.29880654537288454,1813,1
"house",0.2995500507387557,7234,4
"their",0.3031222335435088,28595,16
"california",0.3064119155888233,1768,1
"coming",0.3093867885557051,1751,1
"enjoy",0.31459713516901255,1722,1
"followed",0.31496294579130213,1720,1
"center",0.31532960812633276,3436,2
"easy",0.31606549986058324,1714,1
"both",0.3199589830684507,11852,7
"best",0.32023818724790526,5075,3
"nearly",0.3232316627452504,1676,1
"visit",0.33012569577150497,1641,1
"mail",0.3309323559933046,1637,1
"team",0.33153994293821276,1634,1
"san",0.3323535378902084,1630,1
"series",0.3344051029389134,1620,1
"friend",0.33585633401180387,1613,1
"really",0.3378173999076778,17640,11
"many",0.33877043180554345,12793,8
"or",0.3390296262967095,65514,41
