								
"AGNC"	31.17	"3/2/2012"	"4:00pm"	0.3	30.94	31.17	30.87	9901315
"AHGP"	50.92	"3/2/2012"	"4:00pm"	0.15	51.4	51.6	50.63	39028
"AHPI"	3.46	"3/2/2012"	"3:38pm"	0.04	3.42	3.46	3.42	7100
"AIMC"	19.24	"3/2/2012"	"4:00pm"	-0.5	19.72	19.94	19.19	118077
"AIRM"	91.05	"3/2/2012"	"4:00pm"	0.7	90.64	91.93	90.03	82329
"AIRT"	9.43	"3/2/2012"	"3:45pm"	0.07	9.38	9.43	9.26	4527
"AIXG"	15.59	"3/2/2012"	"4:00pm"	-0.105	15.97	16.2	15.57	312866
"AKAM"	36.3	"3/2/2012"	"4:00pm"	0.4	35.96	36.75	35.9	2829103
"AKRX"	12.87	"3/2/2012"	"4:00pm"	-0.06	12.95	12.99	12.75	912897
"ALCO"	23.3	"3/2/2012"	"4:00pm"	-0.25	23.89	24.0262	23.3	7608
"ALGT"	49.11	"3/2/2012"	"4:00pm"	-0.87	49.87	50.17	48.97	80438
"ALKS"	17.27	"3/2/2012"	"4:00pm"	-0.19	17.42	17.63	17.25	529539
"ALLB"	11.35	"2/29/2012"	"1:41pm"	0	"N/A"	"N/A"	"N/A"	0
"ALLT"	18.15	"3/2/2012"	"4:00pm"	0.03	18.12	18.52	17.9	231810
"ALNC"	28.61	"3/2/2012"	"4:00pm"	-0.26	29.17	29.17	28.55	16430
"ALNY"	12.51	"3/2/2012"	"4:00pm"	-1.13	13.58	13.66	12.48	529418
"ALOG"	55.53	"3/2/2012"	"4:00pm"	-1.1	56.63	56.8971	55.04	69485
"ALOT"	8.2	"3/2/2012"	"3:57pm"	0.1001	8.05	8.2	8.026	3280
"ALSK"	3.34	"3/2/2012"	"4:00pm"	0.25	3.31	3.73	3.25	3791308
"ALTE"	22.75	"3/2/2012"	"4:00pm"	-0.24	22.99	23	22.54	371050
"ALTH"	1.39	"3/2/2012"	"4:00pm"	-0.07	1.46	1.49	1.37	368531
"ALTI"	0.64	"3/2/2012"	"3:59pm"	0	0.6494	0.67	0.64	105741
"ALTR"	37.2	"3/2/2012"	"4:00pm"	-0.84	37.99	38.34	37.17	4275226
"ALVR"	1	"3/2/2012"	"4:00pm"	-0.01	1.01	1.02	0.95	513136
"ALXA"	0.635	"3/2/2012"	"3:59pm"	-0.005	0.67	0.67	0.62	787067
"ALXN"	85.26	"3/2/2012"	"4:00pm"	0.72	84.31	85.28	83.52	1245503
"AMAG"	15.99	"3/2/2012"	"4:00pm"	0.43	15.53	16.25	15.4	110921
"AMAP"	13.48	"3/2/2012"	"4:00pm"	0.33	13.15	13.53	13	169715
"AMAT"	12.22	"3/2/2012"	"4:00pm"	-0.02	12.25	12.4	12.13	21753648
"AMBT"	4.75	"3/2/2012"	"3:58pm"	-0.05	4.75	4.86	4.75	21739
"AMCC"	6.81	"3/2/2012"	"4:00pm"	-0.05	6.86	6.99	6.79	776170
"AMCF"	3.46	"3/2/2012"	"3:58pm"	-0.097	3.45	3.48	3.4401	956
"AMCN"	2.98	"3/2/2012"	"4:00pm"	0.03	2.98	3.04	2.95	29890
"AMCX"	45.3	"3/2/2012"	"4:00pm"	-0.75	45.81	46.2	44.71	502288
"AMED"	12.49	"3/2/2012"	"4:00pm"	-0.17	12.62	12.82	12.39	453273
"AMGN"	67.73	"3/2/2012"	"4:00pm"	0.14	67.59	67.88	67.16	3001503
"AMIC"	4.45	"3/2/2012"	"2:29pm"	-0.14	4.6	4.6	4.43	900
"AMLN"	17.12	"3/2/2012"	"4:00pm"	-0.08	17.11	17.51	16.85	1696725
"AMNB"	21.15	"3/2/2012"	"3:53pm"	-0.1	21.01	21.44	21.01	4250
"AMOT"	7.1299	"3/2/2012"	"3:59pm"	-0.0401	7.03	7.1799	7.01	1300
"AMOV"	23.97	"3/2/2012"	"3:34pm"	-0.177	24.1	24.17	23.8732	3250
"AMPE"	3.61	"3/2/2012"	"4:00pm"	-0.3	3.92	3.92	3.6	81783
"AMPL"	0.2949	"3/2/2012"	"3:59pm"	0.0054	0.3	0.3	0.2897	18502
"AMRB"	6.99	"3/2/2012"	"3:58pm"	0.09	6.94	7	6.701	4096
								
"AAC"	9.78	"2/28/2012"	"11:08am"	0	"N/A"	"N/A"	"N/A"	0
"AMRI"	2.75	"3/2/2012"	"4:00pm"	-0.02	2.84	2.84	2.745	69387
"AMRN"	7.92	"3/2/2012"	"4:00pm"	-0.85	8.45	8.59	7.45	9573820
"AMRS"	4.9	"3/2/2012"	"4:00pm"	-0.29	5.2	5.24	4.84	553773
"AMSC"	3.98	"3/2/2012"	"4:00pm"	-0.18	4.17	4.1799	3.98	743575
"AMSF"	23.48	"3/2/2012"	"4:00pm"	1.09	22.31	24.22	21.56	144805
"AMSG"	25.07	"3/2/2012"	"4:00pm"	-0.34	25.41	25.6036	25.01	126098
"AMSWA"	9.37	"3/2/2012"	"4:00pm"	0.18	9.2	9.6	9.15	168502
"AMWD"	13.93	"3/2/2012"	"4:00pm"	-0.87	15.01	15.12	13.88	58632
"AMZN"	179.3	"3/2/2012"	"4:00pm"	-0.74	179.25	181.84	178.918	3620656
"ANAC"	5.52	"3/2/2012"	"4:00pm"	-0.33	5.87	5.93	5.51	148448
"ANAD"	2.35	"3/2/2012"	"4:00pm"	-0.09	2.44	2.47	2.35	479800
"ANAT"	71.09	"3/2/2012"	"4:00pm"	-0.6	71.64	72.26	70.91	23593
"ANCB"	9	"3/1/2012"	"3:42pm"	0	"N/A"	"N/A"	"N/A"	0
"ANCX"	10.49	"3/2/2012"	"3:40pm"	0.04	10.49	10.49	10.48	3560
"ANEN"	16.85	"3/2/2012"	"4:00pm"	-0.31	17.11	17.35	16.79	62197
"ANGI"	15.25	"3/2/2012"	"4:00pm"	-0.87	16.23	16.75	15.21	158896
"ANGN"	5.832	"3/2/2012"	"3:47pm"	0.162	5.71	5.832	5.6	2245
"ANGO"	12.45	"3/2/2012"	"4:00pm"	-0.34	12.75	12.81	12.43	183276
"ANIK"	11.1	"3/2/2012"	"3:59pm"	-0.4	11.34	11.63	10.7	154416
"ANLY"	5.43	"3/2/2012"	"4:00pm"	-0.07	5.58	5.63	5.43	25443
"ANSS"	63.57	"3/2/2012"	"4:00pm"	-0.05	63.58	64.14	63.14	279527
"ANTH"	6.31	"3/2/2012"	"4:00pm"	-0.15	6.42	6.9	6.19	181069
"ANTP"	2.3	"3/2/2012"	"9:30am"	0.02	2.3	2.3	2.3	300
