"URL","name","other name","other name","other name","other name"
"http://arxiv.org/find/stat/1/au:+Willsky_A/0/1/0/all/0/1","Alan S. Willsky",
"http://arxiv.org/find/q-bio/1/au:+Zhou_Q/0/1/0/all/0/1","Qing Zhou",
"http://arxiv.org/find/math,stat/1/au:+Showk_S/0/1/0/all/0/1","Sally Showk",
"http://arxiv.org/find/math,stat/1/au:+Allais_O/0/1/0/all/0/1","Olivier Allais",
"http://arxiv.org/find/math,stat/1/au:+Tressou_J/0/1/0/all/0/1","Jessica Tressou",
"http://arxiv.org/find/math,stat/1/au:+Hosseini_S/0/1/0/all/0/1","Shahram Hosseini",
"http://arxiv.org/find/math,stat/1/au:+Deville_Y/0/1/0/all/0/1","Yannick Deville",
"http://arxiv.org/find/math,stat/1/au:+Royen_T/0/1/0/all/0/1","Thomas Royen","T. Royen"
"http://arxiv.org/find/stat/1/au:+Aydin_B/0/1/0/all/0/1","Burcu Aydin","Burcu Ayd?n"
"http://arxiv.org/find/stat/1/au:+Pataki_G/0/1/0/all/0/1","Gabor Pataki","Gábor Pataki"
"http://arxiv.org/find/math/1/au:+Hiai_F/0/1/0/all/0/1","F. Hiai","Fumio Hiai"
"http://arxiv.org/find/math/1/au:+Petz_D/0/1/0/all/0/1","D. Petz","Denes Petz"
"http://arxiv.org/find/math,stat/1/au:+Jensen_S/0/1/0/all/0/1","Shane T. Jensen",
"http://arxiv.org/find/math,stat/1/au:+Chen_G/0/1/0/all/0/1","Guang Chen",
"http://arxiv.org/find/math,stat/1/au:+Stoeckert_C/0/1/0/all/0/1","Christian J. Stoeckert, Jr",
"http://arxiv.org/find/stat/1/au:+Wang_H/0/1/0/all/0/1","Haonan Wang","Hao Wang"
"http://arxiv.org/find/stat/1/au:+Ladha_A/0/1/0/all/0/1","Alim Ladha",
"http://arxiv.org/find/stat/1/au:+Bullitt_E/0/1/0/all/0/1","Elizabeth Bullitt",
"http://arxiv.org/find/stat/1/au:+Marron_J/0/1/0/all/0/1","J.S. Marron","J. S. Marron"
"http://arxiv.org/find/math/1/au:+Brouwer_A/0/1/0/all/0/1","Andries E. Brouwer",
"http://arxiv.org/find/math/1/au:+Draisma_J/0/1/0/all/0/1","Jan Draisma",
"http://arxiv.org/find/math,stat/1/au:+Soares_L/0/1/0/all/0/1","Lucas Gallindo Martins Soares",
"http://arxiv.org/find/stat/1/au:+Gervini_D/0/1/0/all/0/1","Daniel Gervini",
"http://arxiv.org/find/stat/1/au:+Palla_G/0/1/0/all/0/1","Gergely Palla",
"http://arxiv.org/find/stat/1/au:+Barabasi_A/0/1/0/all/0/1","Albert-Laszlo Barabasi",
"http://arxiv.org/find/stat/1/au:+Vicsek_T/0/1/0/all/0/1","Tamas Vicsek",
"http://arxiv.org/find/math,stat/1/au:+Wang_W/0/1/0/all/0/1","Weizhen Wang","Wei Wang"
"http://arxiv.org/find/math,stat/1/au:+Peng_J/0/1/0/all/0/1","Jianan Peng","Jie Peng"
"http://arxiv.org/find/math,stat/1/au:+Levy_Leduc_C/0/1/0/all/0/1","Céline Lévy-Leduc",
"http://arxiv.org/find/math/1/au:+Federico_B/0/1/0/all/0/1","Bassetti Federico",
"http://arxiv.org/find/math/1/au:+Fabrizio_L/0/1/0/all/0/1","Leisen Fabrizio",
"http://arxiv.org/find/math/1/au:+Nekrutkin_V/0/1/0/all/0/1","Vladimir Nekrutkin",
"http://arxiv.org/find/stat/1/au:+Klouda_K/0/1/0/all/0/1","Karel Klouda",
"http://arxiv.org/find/math,stat/1/au:+Moulines_E/0/1/0/all/0/1","Eric Moulines","E. Moulines"
"http://arxiv.org/find/math,stat/1/au:+Roueff_F/0/1/0/all/0/1","François Roueff",
"http://arxiv.org/find/math/1/au:+Sullivant_S/0/1/0/all/0/1","Seth Sullivant",
"http://arxiv.org/find/stat/1/au:+Arias_Castro_E/0/1/0/all/0/1","Ery Arias-Castro",
"http://arxiv.org/find/stat/1/au:+Chen_G/0/1/0/all/0/1","Guangliang Chen",
"http://arxiv.org/find/stat/1/au:+Lerman_G/0/1/0/all/0/1","Gilad Lerman",
"http://arxiv.org/find/stat/1/au:+Maumy_M/0/1/0/all/0/1","Myriam Maumy",
"http://arxiv.org/find/stat/1/au:+Boulanger_B/0/1/0/all/0/1","B. Boulanger",
"http://arxiv.org/find/stat/1/au:+Dewe_W/0/1/0/all/0/1","W. Dewe",
"http://arxiv.org/find/stat/1/au:+Gilbert_A/0/1/0/all/0/1","A. Gilbert",
"http://arxiv.org/find/stat/1/au:+Govaerts_B/0/1/0/all/0/1","B. Govaerts",
"http://arxiv.org/find/stat/1/au:+Goyal_V/0/1/0/all/0/1","Vivek K. Goyal","Vivek K Goyal"
"http://arxiv.org/find/math,stat/1/au:+Miller_S/0/1/0/all/0/1","Steven J. Miller",
"http://arxiv.org/find/math/1/au:+McCullagh_P/0/1/0/all/0/1","Peter McCullagh",
"http://arxiv.org/find/math/1/au:+Basrak_B/0/1/0/all/0/1","Bojan Basrak",
"http://arxiv.org/find/math/1/au:+Krizmanic_D/0/1/0/all/0/1","Danijel Krizmani?",
"http://arxiv.org/find/stat/1/au:+Biau_G/0/1/0/all/0/1","Gérard Biau",
"http://arxiv.org/find/stat/1/au:+Bleakley_K/0/1/0/all/0/1","Kevin Bleakley",
"http://arxiv.org/find/stat/1/au:+Gyorfi_L/0/1/0/all/0/1","László Györfi",
