item;price;unit price
Quiche lorraine 400g;3.15;7.88 /KG
Ravioli   sans gluten   300g;5.09;16.97 /KG
Royal greenland alaska seelachs 1kg;5.2;5.20 /KG
Sardines entières 18/24 1kg;3.69;3.69 /KG
Scampi eau black tiger 16/20 1kg;14.9;14.90 /KG
Scampi fritti 500g;4.49;8.98 /KG
Sorbet citron 1l;2.69;2.69 /L
Sorbet framboise 1l;2.69;2.69 /L
Steaks cabillaud panés 4/400g;6.24;15.60 /KG
Suppengemüse 1kg;1.29;1.29 /KG
Suprême de cabillaud 750g;14.8;19.73 /KG
Tagliatelles di mare 450g;5.59;12.42 /KG
Tartes flambées 2x250g;3.69;7.38 /KG
Tortellini sans gluten  300g;5.09;16.97 /KG
Vanille miniature ice cream   3x100ml;4.5;15.00 /L
White 4x120ml;3.29;7.48 /L
Backin   10 sachets;1.0;6.25 /KG
Bière  Verre perdu  24x0.25l;9.95;1.66 /L
Bière  Verre perdu  6x0.33l;3.39;1.71 /L
Bière portugaise   verre perdu  24x0.25l;7.5;1.25 /L
Bière portugaise  verre perdu  6x0.33l;2.2;1.11 /L
Biscuit Messino au lait  125g;1.25;10.00 /KG
Biscuit Messino fondant  125g;1.25;10.00 /KG
Biscuit Prussien   220g;1.8;8.18 /KG
Bonbons aux herbes sans sucre  75g;1.89;25.20 /KG
Bonbons Chocolat  250g;2.25;9.00 /KG
Bonbons Eucalyptus sans sucre   75g;1.89;25.20 /KG
Bonbons Lemon Mint sans sucre   75g;1.89;25.20 /KG
Bonbons Peanuts  250g;2.25;9.00 /KG
Brandy  36% 1.00 l;8.45;8.45 /L
Brosse à dents hard  Flex Schwingkopf;1.89;1.89 /PC
Brosse à dents hard  Hoch-Tief;1.89;1.89 /PC
Brosse à dents medium  Flex Schwingkopf;1.89;1.89 /PC
Brosse à dents medium  Hoch-Tief;1.89;1.89 /PC
Brosse à dents sensitive  Flex Schwingkopf;1.89;1.89 /PC
Brosse à dents sensitive  Hoch-Tief;1.89;1.89 /PC
Café en grains  Pur Santos Tristar  250g;3.0;12.00 /KG
Caipirinha do Brasil 17%  0.70l;5.95;8.50 /L
Chocolat Extra Fin Blanc  100g;1.1;11.00 /KG
Chocolat Extra Fin Lait  100g;1.1;11.00 /KG
Chocolat Extra Fin Noir  100g;1.1;11.00 /KG
Chocolat Noir Extra Fin   300g;2.9;9.67 /KG
Chocolat Noisettes entières  300g;2.9;9.67 /KG
Chorizo Alentejana 235g;2.1;8.94 /KG
Chorizo Beira 235g;2.1;8.94 /KG
Chorizo Transmontana 235g;2.1;8.94 /KG
Dentifrice mild mint  Tube 75ml;1.39;18.53 /L
Dentifrice samtweiss  Tube 75ml;2.2;29.33 /L
Dentifrice standard  Tube 75ml;1.39;18.53 /L
Douche huile  200ml;3.75;18.75 /L
Eau minérale  Pet  6x1.00l;3.75;0.63 /L
Essuie-tout   4 rouleaux;1.98;1.98 /PC
Ficelle fumée  3 pièces  +/- 270g;2.4;8.90 /KG
Filet de dinde   150g;1.65;11.00 /KG
Filet de poulet   150g;1.65;11.00 /KG
Graisse friture  1kg;2.15;2.15 /KG
Grillinger Original  3 pièces  +/- 390g;3.49;8.95 /KG
Havana Club Anejo blanco 37.5%  0.70l;9.95;14.21 /L
Huile alimentaire  1l;1.4;1.40 /L
Huile d'olive extra vierge   0.75l;2.9;3.87 /L
Jambon cuit Fiambre perna 440g;3.55;8.07 /KG
Johnnie Walker red label 40%  0.70l;11.85;16.93 /L
Langue de boeuf sauce madeire + purée épinard  400g;4.1;10.25 /KG
Levure   4 sachets;0.85;121.43 /KG
Limonade bleue  Pet  6x1l;6.5;1.08 /L
Limonade rouge  Pet  6x1l;6.5;1.08 /L
Limonade vert  Pet  6x1l;6.5;1.08 /L
Linguiça doux 130g;1.2;9.23 /KG
Liquide nettoyant WC   2x750ml;2.15;1.43 /L
Liquide vaisselle   2x1l;2.98;1.49 /L
Merguez  3 pièces  +/- 270g;2.58;9.55 /KG
Mon Chéri 30 pièces  315g;5.2;16.51 /KG
Nettoyant Bang crasse+calcaire  Spray  750ml;2.48;3.31 /L
Nettoyant liquide multi dégraissant  Spray  750ml;2.48;3.31 /L
Nettoyant liquide WC lemon   2x750ml - 2ième à 1/2 prix;2.15;1.43 /L
Olives noires  520g;1.48;2.85 /KG
Papier toilette Soft blanc  9 rouleaux + 3 rouleaux gratuits;4.29;4.29 /PC
Pastis Ricard  45° 1.00 l;12.59;12.59 /L
Pâté de sardines en conserve  4x22g;0.98;11.14 /KG
Pâté Grand-Mère    Terrine de 250g;3.25;9.85 /KG
Pâté Riesling brisé x1;2.3;19.17 /KG
Peito Peru en tranches fines 140g;2.95;21.07 /KG
Plateau raclette   176g;3.6;20.45 /KG
Pralines Rocher 30 pièces  375g;5.98;15.95 /KG
Pudding Chocolat   4 sachets;1.58;7.31 /KG
Pudding Vanille   4 sachets;1.15;5.32 /KG
Rhum Bacardi blanc 37.5%  0.70l;10.99;15.70 /L
Riz long naturel non étuvé Carolino   1kg;0.85;0.85 /KG
Sachets fraîcheur  Dark meat  12x100g;3.59;2.99 /KG
