item;price;unit price
Goulasch de boeuf sans os  +/- 400g;3.66;9.15 /KG
Goulaschzopp  Production maison Schnékert  600ml;5.7;9.50 /L
Gourmet Weinsauerkraut / Riesling 250g;1.1;4.40 /KG
Goûter 64% (19%)  5x35g;2.19;12.51 /KG
Grana padano 32%(28%) 200g;3.65;18.25 /KG
Grapefruit rouge star ruby   calibre 35   pièce;0.79;0.79 /PC
Grillburger  2 pièces  +/- 270g;1.88;6.95 /KG
Haché extra   +/- 400g;2.76;6.90 /KG
Haché supérieur   barquette de +/-400g  emballée sous gaz;2.66;6.65 /KG
Hamburger  2 pièces  +/- 270g;2.19;8.10 /KG
Hardegger Fondue moitié-moitié   400g;6.2;15.50 /KG
Haricots fins +/- 500 g;2.79;2.79 /PC
Hausmacher gelée  250g;3.55;14.20 /KG
Homa Gold margarine   500g;1.1;2.20 /KG
Hot Dog   2 pièces   100g;1.85;9.25 /KG
Il cacciatore   +/- 150g;2.81;18.70 /KG
Iles gourmandes 6x110g;3.59;5.44 /KG
Jambon cuit 4 tranches  +/- 180g;3.12;17.35 /KG
Jambon cuit Cactus 6 tranches  +/- 270g;4.68;17.35 /KG
Jambon de Bayonne   160g;4.85;30.31 /KG
Jambon fumé marque nationale   +/- 190g;7.01;36.90 /KG
Jambon sec Presunto tranché 120g;3.2;26.67 /KG
Jambon supérieur 6 tranches  +/- 200g;3.99;19.95 /KG
Julienne de jambon   2x100g;1.95;9.75 /KG
Julienne de lardons fumés   2x100g;1.9;9.50 /KG
Julienne de lardons natures   2x100g;1.9;9.50 /KG
Kachkeis herbes 40% (14%) 250g;2.46;9.84 /KG
Kachkeis pot 40% (14%) 250g;2.34;9.36 /KG
Kartoffelsalat-Gurke 500g;2.08;4.16 /KG
Käseraspel 30% (17%) 150g;1.99;13.27 /KG
Kiri 68% (33%) 12p 240g;3.08;12.83 /KG
Kiwi vert cal 25/27;0.49;0.49 /PC
Knacki ball original   200g;2.3;11.50 /KG
Knirps romadour 40% (19%) 100g;0.94;9.40 /KG
Knusperyoghurt Banane 150g;0.69;4.60 /KG
Knusperyoghurt Original 150g;0.69;4.60 /KG
Knusperyoghurt Schoko-balls 150g;0.69;4.60 /KG
Kuddelfleck cuisiné   bol de 300g;3.45;11.50 /KG
Laetta margarine 250g;1.04;4.16 /KG
Lait battu 1,5% 1l;1.24;1.24 /L
Lait cencentré sans sucre   Traum-8 der Genussvolle  170g;0.72;4.24 /KG
Lait choco uht 3.5% 33cl;0.69;2.09 /L
Lait choco uht 3.5% 6X33cl;4.14;2.09 /L
Lait concentré sans sucre Leichte4  340g;0.79;2.32 /KG
Lait entier concentré sucré  397g;1.79;4.51 /KG
Lait frais 1,5%   1l;1.02;1.02 /L
Lait frais 1,5% 1l;1.18;1.18 /L
Lait frais 3,5%   1/2l;0.82;1.64 /L
Lait frais 3,5%   1l;1.08;1.08 /L
Lait frais 3,5% 1l;1.23;1.23 /L
Lait frais chocolaté 1/2l;1.13;2.26 /L
Lait frais chocolaté 1l;1.72;1.72 /L
Lait uht 1,5%    6x0.5l bouteille;5.28;1.76 /L
Lait uht 1,5%   0,5l bouteille;0.88;1.76 /L
Lait UHT 1,5% 1l;0.88;0.88 /L
Lait UHT 3,5% 1l;0.99;0.99 /L
Lait UHT 3.5%  6x1l;5.94;0.99 /L
Lait uht bleu 1,5% 6x1l;4.44;0.74 /L
Lait UHT Vert 3,5%  6 x 1 l;4.92;0.82 /L
Lapin entier sous-atmosphère  +/- 1,25kg;11.69;9.35 /KG
Lard maigre fumé morceau   +/- 350g;3.71;10.60 /KG
Lardons fumés   200g;1.8;9.00 /KG
Lardons natures   200g;1.8;9.00 /KG
Lardons saumon fumé 90g;3.3;36.67 /KG
Lasagne bolognaise   1kg;5.2;5.20 /KG
Lasagne bolognaise   400g;2.55;6.38 /KG
Lasagne Bolognese  Production maison Schnékert  500g;5.25;10.50 /KG
Lasagnes 250g;2.72;10.88 /KG
Le chapelain tranches 170g 25%;2.96;17.41 /KG
Lensenzopp mat Wirschtercher  Production maison Schnékert  600ml;4.6;7.67 /L
Lëtzebuerger Grillwurscht  2 pièces  +/- 180g;1.82;10.10 /KG
Lëtzebuerger Kuuscht coupé  500g;2.42;4.84 /KG
Light tranches 30% (17%) 200g;2.95;14.75 /KG
Lyoner    250 g;2.4;9.60 /KG
Mangues calibre 7/8;2.28;2.28 /PC
Margarine aux omega 3   250g;1.41;5.64 /KG
Margarine cuire & rôtir   500g;2.47;4.84 /KG
Margarine cuisson   500g;2.39;4.78 /KG
Margarine Frischbox 500g;1.22;2.44 /KG
Margarine liquide   500ml;2.52;5.04 /L
Mascarpone 81% (41%)   500g;4.55;9.10 /KG
Masse bouchée à la reine 600g;6.65;11.08 /KG
Médaillon de porc  2 pièces  +/- 260g;2.83;10.90 /KG
Médaillon dinde avec champignons/crème et riz  465g;5.3;11.40 /KG
Mélange de crudités 250gr;1.75;7.00 /KG
Mélange exotique sachet 175 g;1.78;1.78 /PC
Mettwurscht  2 pièces  +/- 180g;1.87;10.40 /KG
Mini babybel 24% 12p 264g;4.28;16.46 /KG
Monte chocolat 6x55g;1.64;4.97 /KG
Mortadella   100g;1.8;18.00 /KG
Mortadella "gamme 1812"  +/- 140g;2.89;20.65 /KG
Moules hollande super 2kg;8.95;4.48 /KG
Mousse choco lait 2x120ml;1.69;7.04 /L
Mousse choco noir 2x120ml;1.69;7.04 /L
Mousse de viennois chocolat 4x90g;1.89;5.25 /KG
Mozzarella 48%  125g;1.32;10.56 /KG
Mozzarella bufalla 45%(21%) 125g;1.9;15.20 /KG
Mozzarella du luxembourg 500g;4.65;9.30 /KG
Mozzarella maxi 45% (19%) 250g;2.59;10.36 /KG
Mozzarella mini 150g 45%(22%);2.07;13.80 /KG
Mozzarella rapée 45% (25%) 150g;2.29;15.27 /KG
Muffin au chocolat  75g;0.58;7.73 /KG
Muffin aux pépites de chocolat  75g;0.58;7.73 /KG
Muffin vanille  75g;0.58;7.73 /KG
Mühlen Mett Chili und Paprika   125g;1.8;14.40 /KG
Mühlen Mett Zwiebel   125g;1.8;14.40 /KG
Naturbrout coupé  500g;2.67;5.34 /KG
Nesquik petit chocolat 6x60g;1.99;5.53 /KG
Noix de jambon cuite  +/- 600g;6.51;10.85 /KG
Nutriday yaourts maigres sucrés   4x125g;1.6;3.20 /KG
Nutriday yaourts natures maigres  4x125g;1.47;2.94 /KG
Oeufs poule au sol gros x10;2.38;2.38 /PC
Oeufs poule au sol très gros x6;1.99;1.99 /PC
Oignon saucier 500 g cal 30/50;3.18;6.36 /KG
Oignons blancs  500 g / calibre 50/70;2.98;2.98 /PC
Oignons rouges 500 g / calibre 50/70;3.28;6.56 /KG
Olives à l'ail 150 g;2.29;15.27 /KG
Olives et fromage de brebis 150 g;2.39;15.93 /KG
Orange Moro Girsac  filet de 2kg;3.29;3.29 /PC
Oranges à jus   filet 2 kg;2.98;2.98 /PC
Oranges Navel Late barquette 4 pièces;1.94;1.94 /PC
Oranges Tarocco  2 pièces;1.38;1.38 /PC
Pain à l'ancienne coupé  500g;2.82;5.13 /KG
Pain de ménage coupé  500g;1.64;3.28 /KG
Papayes   calibre 7 - 8   pièce;2.98;2.98 /PC
Parmigiano reggiano 32%(28%)200g;4.99;24.95 /KG
Parmigiano reggiano rapé 28% 40g;0.96;24.00 /KG
Passendale tranches  29% 5p 200g;3.05;15.25 /KG
Pâté crème au four  +/- 180g;1.9;10.55 /KG
Pâté d'Ardennes   Terrine de +/- 330g;3.6;10.90 /KG
Paté saumon riesling 110g;3.2;29.09 /KG
Pavé d'affinois 45% (19%) 175g;2.98;17.03 /KG
Pavé saum. ail herbes 1kg pauvre en aret;22.95;22.95 /KG
Petit Munster 50% (27%)   125g;1.79;14.32 /KG
Petit Saint Albray 50%(34%) 200g;2.5;12.50 /KG
Petit Yop fraise 4x180g;2.28;3.17 /KG
Petits cocktail 210g;2.49;11.86 /KG
Petits mayonnaise 210g;2.49;11.86 /KG
Pik & croq   5 pièces - 175g;1.95;11.14 /KG
Pilon de poulet  4 pièces  +/- 550g;3.8;6.90 /KG
Pissenlit jaune sachet 200 g;2.78;13.90 /KG
Pizza baguette original   230g;3.45;15.00 /KG
Plateau choucroûte   500g;4.5;9.00 /KG
Plateau choucroute garnie  1kg;8.75;8.75 /KG
Plateau jambon serrano   160g;4.45;27.81 /KG
Poireaux  +/- 600g;1.18;1.18 /KG
Poires Conférence 2 pièces;0.48;0.48 /PC
Poitrine de veau farcie   +/- 810g;8.99;11.10 /KG
Poitrine fumée Cactus   150g;2.1;14.00 /KG
Poivrons mixtes 3 pièces;2.39;2.39 /PC
Pomme de terre du Terroir Nicola   filet +/- 2,5 kg;2.69;1.08 /KG
Pomme de terre Parisienne  sachet de 2,5 kg;3.98;1.59 /KG
Pomme de terre pour frites  sachet de 2,5 kg;2.69;2.69 /PC
Pommersche Fein   125g;1.75;14.00 /KG
Pommersche Grob  125g;1.75;14.00 /KG
Pommes de terre Ukama   filet +/- 2,5 kg;2.35;0.94 /KG
Pommes Golden 4 pièces;1.09;1.09 /PC
Pommes Jazz 4 pièces;1.34;1.34 /PC
Pommes Pink Lady  4 pièces en barquette;1.73;1.73 /PC
Pommes Royal Gala 4 pièces;0.94;0.94 /PC
Pot au feu  500g;1.85;3.70 /KG
Pot-au-feu mixte  +/- 2kg;10.7;5.35 /KG
Poulet aigre-doux   400g;4.5;11.25 /KG
Poulet au curry   400g;4.5;11.25 /KG
Poulet entier blanc  +/- 1,3kg;6.76;5.20 /KG
Poulet fermier jaune des Landes  +/- 1,5kg;11.63;7.75 /KG
Poulet Pékin   400g;4.5;11.25 /KG
Président brique 60% (30%) 200g;1.9;9.50 /KG
Pro Activ margarine tartine 35%   250g;3.49;13.96 /KG
Prosciutto arrosto "gamme 1812"  +/- 130g;4.19;32.25 /KG
Prosciutto crudo   70g;3.0;42.86 /KG
Prosciutto Parma "gamme 1812"  +/- 130g;5.04;38.75 /KG
Prosciutto San Daniele   70g;3.8;54.29 /KG
Pruneaux d'Agen sachet 250 g;2.22;2.22 /PC
Pudding chocolat / vanille  125g;0.79;6.32 /KG
Puten Salami   100g;1.7;17.00 /KG
Queue ecrev calvados 150g;2.75;18.33 /KG
Queues écrevisses 150 g;4.3;28.67 /KG
Quiche lorraine x2;3.9;13.93 /KG
Raclette Suisse tranches  300g;4.9;16.33 /KG
Raclette tranches 26% 400g;4.4;11.00 /KG
Rambol decoré noix 55%(27%) 200g;2.95;14.75 /KG
Rapé frais pastissimo 30% 100g;2.48;24.80 /KG
Ravili au ricotta et herbes  250g;3.65;14.60 /KG
Ravioli aux 4 fromages  250g;2.76;11.04 /KG
Ravioli Carne Brasato  250g;2.76;11.04 /KG
Ravioli ricotta, épinards sauce girolles;5.5;11.00 /KG
Ricotta 47% (13%) 250g;1.68;6.72 /KG
Rigatoni arrabiata 500g;5.25;10.50 /KG
Riz au lait 180g;0.91;5.06 /KG
Riz au lait vanille 4x115g;1.64;3.57 /KG
Rondelle de Bamkuch  300g;12.3;41.00 /KG
Roquefort tranche31%  100g;2.65;26.50 /KG
Roquette 80 g;1.85;23.13 /KG
Rôti de veau orloff   +/- 700g;9.91;14.15 /KG
Rôti supérieur   +/- 1kg;14.95;14.95 /KG
Rôti supérieur   +/- 500g;7.48;14.95 /KG
Rougette fromage au four paysan 33% 320g;4.59;14.34 /KG
Roulade de boeuf  2 pièces  +/- 320g;3.23;10.10 /KG
Roulade haché + épinard + purée  410g;3.95;9.63 /KG
Rumsteak de boeuf   1 pièce   +/- 200g;3.59;17.95 /KG
Sahne-heringsfilet 400g;3.68;9.20 /KG
Sahneyoghourt 150g;0.35;2.33 /KG
Sainte maure 45% (25%) 200g;2.49;12.45 /KG
Salade ail herbes 120g;1.99;16.58 /KG
Salade Caesar 200 g;3.59;17.95 /KG
Salade composée 350gr;2.85;8.14 /KG
Salade de mâche  Zip  200g;2.98;14.90 /KG
Salade de poulet andalouse   125g;1.75;14.00 /KG
Salade de poulet curry   125g;1.75;14.00 /KG
Salade de thon   125g;1.75;14.00 /KG
Salade de thon mayonaise 150g;1.75;11.67 /KG
Salade doucette  125g;1.58;1.58 /PC
Salade Feuille de chêne rouge;1.48;1.48 /PC
Salade frisée   pièce;2.18;2.18 /PC
Salade laitue   pièce;1.58;1.58 /PC
Salade mesclun 175 g;3.15;18.00 /KG
Salade pita piquant   125g;2.15;17.20 /KG
Salade scarole   pièce;2.48;2.48 /PC
Salade surimi crabe 150g;1.95;13.00 /KG
Salakis leicht pru brebis bloc 9%   180g;2.49;13.83 /KG
Salakis pur brebis barquette 50%   200g;1.88;9.40 /KG
Salami à l'ail  150g;2.5;16.67 /KG
Salami Felino "gamme 1812"  +/- 120g;3.87;32.25 /KG
Salami Milano   120g;3.35;27.92 /KG
Salami sans ail   150g;2.5;16.67 /KG
Salamini affumicati   100g;2.7;27.00 /KG
Salamini classici   100g;2.7;27.00 /KG
Aide pour sauce   Geschnetzeltes Züricher Art  Fix;0.89;17.80 /KG
Aide pour sauce   Gulasch  Fix;0.89;17.80 /KG
Aide pour sauce   Rouladen  Fix;0.89;22.25 /KG
Aide pour sauce   Zum Braten  3x1/4l;1.04;13.87 /L
Aide pour sauce  Chili Con Carne  Fix;0.89;22.25 /KG
Aide pour sauce  Jägerschnitzel  Fix;0.89;17.80 /KG
Aide pour sauce  Lachs-Sahnegratin   Fix;0.89;24.72 /KG
Aide pour sauce  Paprika Gulasch  Fix;0.89;17.12 /KG
Aide pour sauce  Schmorbraten  Fix;0.89;19.35 /KG
Aide pour sauce  Spaghetti bolognese  Fix;0.89;17.80 /KG
Aides Sauces Express Brun  250g;1.39;5.56 /KG
Aides Sauces Express Clair  250g;1.39;5.56 /KG
Aides Sauces Fecule  400g;1.59;3.98 /KG
Amandes moulues  100g;1.85;18.50 /KG
Arome liquide N°3   200ml;2.08;10.40 /L
Batons de vanille en verre;1.68;560.00 /KG
Betteraves rouges  370ml;0.82;2.31 /KG
Betteraves rouges  720g;1.24;1.72 /KG
Bouillon de viande à huile d'olives + sel marin  6l;1.94;24.25 /KG
Bouillon finesse poisson  7l;2.36;16.86 /KG
Bouillon Finesse poulet  7l;2.16;14.03 /KG
Bouillon finesse viande  7l;2.36;16.86 /KG
Bouillon poule à huile d'olive + sel marin  6l;2.04;25.50 /KG
Bouillons légumes à huile d'olive + sel marin  6l;2.15;17.92 /KG
Capellini No.1   500g;0.99;1.98 /KG
Capres non pareilles  90g;1.19;19.83 /KG
Carottes jeunes et extra fines  215g;0.89;4.14 /KG
Carottes jeunes et extra fines  420g;1.27;3.02 /KG
Celeris-raves rapés bocal  190g;0.93;4.89 /KG
Céréales à cuire  Grains de blé entiers  500g;2.42;4.84 /KG
Champignons 1er choix  115g;1.33;11.57 /KG
Champignons 1er choix  370ml;1.92;9.60 /KG
Champignons Hotel  115g;0.65;5.65 /KG
Champignons tranches  115g;1.33;11.57 /KG
Champignons tranches  200g;1.92;9.60 /KG
Chapelure   150g;0.5;3.33 /KG
Chapelure   400g;1.75;4.38 /KG
Chou rouge  370ml;0.83;2.34 /KG
Chou rouge  700g;1.2;1.71 /KG
Choucroute au vin  310g;0.82;2.65 /KG
Choucroute au vin  600g;1.39;2.32 /KG
Choucroute Mildessa   2 portions  285g;0.83;2.91 /KG
Choux de bruxelles  405g;1.65;4.07 /KG
Coeurs d'artichauts  240g;2.29;9.54 /KG
Coeurs de palmiers  220g;2.28;10.36 /KG
Condiment   Aromat  3x90g;3.1;11.48 /KG
Condiment   Aromat  90g;1.62;18.00 /KG
Condiment  Aromat herbes boîte  90g;2.05;22.78 /KG
Condiments mix rotisseur;1.51;17.16 /KG
Corned Beef conserve  198g;2.45;12.37 /KG
Cornichons  285g;1.35;4.74 /KG
Cornichons  Knax-Gewürzgurken  360g;1.55;4.31 /KG
Cornichons  Sandwichgurken  185g;1.36;7.35 /KG
Cornichons aigres aux fines herbes  170g;1.24;7.29 /KG
Cornichons croqvert  210g;1.99;9.48 /KG
Cornichons en batons  285g;1.33;4.67 /KG
Crabes Fancy King 60% pattes, conserve  240g;15.65;104.33 /KG
Crevettes roses en conserve  120g;2.98;24.83 /KG
Cubes de tomates  400g;1.15;2.88 /KG
Epice ail  100ml;1.49;14.90 /L
Epice Ail Semoule  100ml;1.84;18.40 /L
Epice Bailic  100ml;1.49;14.90 /L
Epice Basilic  100ml;2.32;232.00 /L
Epice Cannelle moulu  100ml;2.9;29.00 /L
Epice Curry madras  100ml;1.9;19.00 /L
Epice feuilles de lauriers en sachet;0.85;42.50 /KG
Epice herbe Herbe de Provence  100ml;2.4;24.00 /L
Epice herbe mélange pour pâtes  100ml;2.65;26.50 /L
Epice herbe mélange pour volailles  100ml;2.7;27.00 /L
Epice laurier feuilles entières  17g;2.04;2.04 /PC
Epice mélange herbe de provence  100ml;1.49;14.90 /L
Epice mélange pour pâtes  100ml;1.75;17.50 /L
Epice mélange pour volailles  100ml;1.75;17.50 /L
Epice Muscade moulu  100ml;3.37;33.70 /L
Epice muscade moulu  100ml;3.5;35.00 /L
Epice Origan  100ml;1.49;14.90 /L
Epice Paprika doux  100ml;2.94;29.40 /L
Epice Paprika fort  100ml;2.94;29.40 /L
Epice persil  100ml;1.49;14.90 /L
Epice poudre Curry  100ml;2.8;28.00 /L
Epice pour salade  Französische Art  Salakrönung  5 sachets;1.29;25.80 /KG
Epice pour salade  Gartenkräuter  Salatkrönung  5 sachets;1.29;25.80 /KG
Epice pour salade  Gartenkräuter-Knoblauch  Salatkrönung  5 sachets;1.29;25.80 /KG
Epice pour salade  Italienische Art  Salatkrönung  5 sachets;1.29;25.80 /KG
Epice pour salade  Küchenkräuter  Salatkrönung  5 sachets;1.29;25.80 /KG
Epice pour salade  Paprika  Salatkrönung  5 sachets;1.29;25.80 /KG
Epice Romarin  100ml;2.22;22.20 /L
Epice Thym  100ml;2.22;22.20 /L
Epinards à la crème  370ml;1.4;3.78 /L
Epinards hachés  245g;0.95;3.88 /KG
Epinards hachés  480g;1.24;2.58 /KG
Escargots très gros 2 douzaines  125g;3.2;25.60 /KG
Farfalle No.65   500g;0.99;1.98 /KG
Farine de blé   1kg;1.09;1.09 /KG
Farine de blé  1kg;0.97;0.97 /KG
Farine pain maison  1.5kg;3.19;2.13 /KG
Farine pâtissière  1kg;0.64;0.64 /KG
Fécule Tapioca Julienne  200g;0.89;4.45 /KG
Fèves de marais  220g;1.73;7.86 /KG
Fèves de marais  455g;1.86;4.09 /KG
Filets d'anchois allongés  35g;1.0;28.57 /KG
Filets d'anchois roulés  35g;1.14;32.57 /KG
Filets de maquereaux 30mm en conserve  125g;1.88;15.04 /KG
Filets de sardines à l'huile d'olive  100g;0.98;9.80 /KG
Filets de sardines sauce tomate  100g;0.9;9.00 /KG
Flan Caramel   2 sachets;1.1;10.00 /KG
Flan Vanille   2 sachets;1.1;11.00 /KG
Fond de sauce  Fischfond  400ml;2.68;6.70 /L
Fond de sauce  Geflügelfond  400ml;2.6;6.50 /L
Fond de sauce  Kalbsfond  400ml;2.6;6.50 /L
Fond de sauce  Rinderfond  400ml;2.68;6.70 /L
Fond de sauce en tube  Bratensauce  150g;1.9;12.67 /KG
French dressing aux herbes  450ml;2.89;6.42 /KG
Frühstücksfleisch  340g;1.75;5.15 /KG
Fruit Cocktail au jus naturel  140g;1.26;9.00 /KG
Fruit Cocktail au sirop  250g;1.64;6.56 /KG
Fruit Cocktail au sirop  500g;2.65;5.30 /KG
Fruits au jus Cerises du nord   350g;2.48;7.09 /KG
Fruits au sirop Abricots   240g;1.8;7.50 /KG
Fruits au sirop Airelles sauvages  210g;1.6;20.00 /KG
Fruits au sirop Ananas 10 tranches  350g;1.79;5.11 /KG
Fruits au sirop Ananas 4 tranches  140g;1.28;9.14 /KG
Fruits au sirop Pêches  130g;1.28;9.85 /KG
Fruits au sirop Pêches demies  240g;1.6;6.67 /KG
Fruits au sirop Poires williams  230g;1.56;6.78 /KG
Fusilli No.98   500g;0.99;1.98 /KG
Gelatine en Feuilles  20g;1.55;77.50 /KG
Germes de soja  350g;1.45;8.29 /KG
Germes de soja bocal  160g;0.97;6.06 /KG
Graisse friture  2kg;8.5;4.25 /KG
Gros sel  1kg;0.42;0.42 /KG
Gros sel Iode & Fluore  1kg;0.67;0.67 /KG
Haricots blancs  255g;0.93;3.65 /KG
Haricots blancs  490g;1.37;2.80 /KG
Haricots blancs géants  235g;1.35;5.74 /KG
Haricots blancs sauce tomates  180g;0.76;4.22 /KG
Haricots blancs sauce tomates  360g;0.94;2.61 /KG
Haricots blancs sauce tomates  720g;1.45;2.01 /KG
Haricots blancs secs  500g;0.92;1.84 /KG
Haricots rouges  240g;0.97;4.04 /KG
Haricots rouges  250g;0.94;3.76 /KG
Haricots rouges  465g;1.44;3.10 /KG
Haricots sauce tomates  250g;0.98;3.92 /KG
Haricots sauce tomates  415g;1.18;2.84 /KG
Haricots verts coupés  200g;0.99;4.95 /KG
Haricots verts coupés  395g;1.48;3.75 /KG
Haricots verts extra fin  220g;1.33;6.05 /KG
Haricots verts extra fins  180g;1.72;9.56 /KG
Haricots verts extra fins  350g;3.1;8.86 /KG
Haricots verts princesse  105g;0.69;6.57 /KG
Haricots verts princesse brises  360g;1.1;3.06 /KG
Haricots verts princesse brises  370ml;0.79;4.39 /KG
Heringsfilet Pfeffersauce conserve  200g;1.59;7.95 /KG
Heringsfilet Senfsauce conserve  200g;1.59;7.95 /KG
Heringsfilets Tomatensauce conserve  200g;1.59;7.95 /KG
Huile arachide  1l;5.98;5.98 /L
Huile colza  Lëtzebuerger Rapsueleg  0.75l;2.4;3.20 /L
Huile de mais  Keimöl  0.75l;3.35;4.47 /L
Huile de tournesol  1l;3.12;3.12 /L
Huile d'olive extra vierge  0.5l;4.5;9.00 /L
Huile d'olive extra vierge  0.75l;5.2;6.93 /L
Huile d'olive extra vierge d'Italie  1l;6.25;6.25 /L
Huile d'olive pure classico  1l;8.15;8.15 /L
Huile pour Fondue et Grillades  1l;6.65;6.65 /L
Huile pour salades  500ml;1.89;3.78 /L
Instant Gemüsebrühe  122g;1.88;15.41 /KG
Instant Rinderbouillon  120g;1.88;15.67 /KG
Jeunes carottes râpées bocal  190g;1.02;5.37 /KG
Lait de coco  200ml;1.56;7.80 /KG
Légumes condimentaires  Carciofi grigliati olio  314ml;3.9;12.42 /KG
Légumes condimentaires  Pomodori secchi olio  314ml;2.13;6.78 /KG
Litchis au sirop  255g;1.45;5.69 /KG
Maccheroni No.44   500g;0.99;1.98 /KG
Macédoines légumes   265g;1.03;3.89 /KG
Maïs naturel doux en grains  125g;1.17;9.36 /KG
Maïs naturel doux en grains  230g;1.3;5.65 /KG
Maïs naturel doux en grains gold  285g;1.26;4.42 /KG
Maïskölbchen Glas  110g;1.74;15.82 /KG
Massepain pour Pâtisserie   200g;2.6;13.00 /KG
Mayonnaise au citron  500ml;1.7;3.40 /L
Mayonnaise au citron  610ml;1.99;3.26 /L
Mayonnaise aux oeufs  500ml;1.7;3.40 /L
Mayonnaise aux oeufs  610ml;1.99;3.26 /L
Mayonnaise Delikatess tube  200ml;1.39;6.95 /L
Mix pour Crêpes   200g;1.85;9.25 /KG
Mix pour Gâteau au Chocolat  485g;3.2;6.60 /KG
Mix pour Gâteau Citron  485g;3.2;6.60 /KG
Mix pour Gâteau Marbre  400g;2.85;7.13 /KG
Mix pour Muffins American Style   356g;2.89;8.12 /KG
Moutarde de Luxembourg Bourbon verre "Whisky"  280g;1.45;5.18 /KG
Moutarde de Luxembourg Tube  90g;0.85;9.44 /KG
Moutarde forte verre "fleur de lys"   380g;1.26;3.32 /KG
Noisettes hachées  100g;2.2;22.00 /KG
Noix hachées  100g;3.35;33.50 /KG
Nouilles nid  250g;2.48;9.92 /KG
Oignons blancs aigre-doux  190g;1.02;5.37 /KG
Olives farcies piment  200g;1.38;6.90 /KG
Olives noires denoyautées  170g;1.19;7.00 /KG
Olives vertes dénoyautées  37cl;1.12;7.00 /KG
Olives vertes farcies anchois  85g;1.18;13.88 /KG
Olives vertes farcies aux amandes  120g;1.99;16.58 /KG
Pain Pita Blanc  500g;1.28;2.56 /KG
Pâte à Pizza  260g;2.06;7.92 /KG
Pâte a pizza maxi 385g;2.73;7.09 /KG
Pâte brisée 230g;1.44;6.26 /KG
Pâté de foie français  3x43g;1.69;13.10 /KG
Pâte feuilletée 230g;1.44;6.26 /KG
Pâtes aux oeufs Cheveux d'anges  250g;1.2;4.80 /KG
Pâtes aux oeufs Coquilles n°3  250g;1.18;4.72 /KG
Pâtes aux oeufs Girolles  250g;1.2;4.80 /KG
Pâtes aux oeufs Maccaronelli  250g;1.2;4.80 /KG
Pâtes aux oeufs Nouilles n°1  250g;1.2;4.80 /KG
Pâtes aux oeufs Nouilles n°2  250g;1.2;4.80 /KG
Pâtes aux oeufs Spaghetti  250g;1.2;4.80 /KG
Pâtes aux oeufs Spaghetti fin  250g;1.2;4.80 /KG
Pâtes aux oeufs Spätzle  500g;2.2;4.40 /KG
Pâtes aux oeufs Spiral  250g;1.2;4.80 /KG
Pâtes aux oeufs Torsi  250g;1.2;4.80 /KG
Pâtes fourrées Tortellini viande n° 1  250g;2.98;11.92 /KG
Pâtes mie hoen Vermicelle Riz  250g;2.89;11.56 /KG
Pâtes sans oeufs Lasagne uovo n°199  500g;2.19;4.38 /KG
Pâtes sans oeufs Linguine  500g;1.04;2.08 /KG
Pâtes sans oeufs Pipe Rigate n°91  500g;0.99;1.98 /KG
Pâtes sans oeufs Torsades n°34   500g;0.99;1.98 /KG
Penne Rigate No 73  500g;0.99;1.98 /KG
Petits pois et carottes  125g;0.73;5.84 /KG
Petits pois extra fin  280g;1.09;3.89 /KG
Petits pois extra fins  130g;0.73;5.62 /KG
Petits pois extra fins  230g;1.12;4.87 /KG
Petits pois extra fins  455g;1.65;3.63 /KG
Petits pois extra fins & jeunes carottes  425ml;1.15;2.71 /L
Petits pois très fins+jeunes carottes  340g;0.93;2.74 /KG
Petits pois très fins+jeunes carottes  680g;1.46;2.15 /KG
Plat à cuisiner à l'Italienne  425g;2.14;5.04 /KG
Plat à cuisiner cassoulet   445g;3.49;7.84 /KG
Plat à cuisiner Chili Con Carne   410g;1.92;4.68 /KG
Plat à cuisiner déshydraté   Spaghetteria   Tomate mozzarella;1.7;10.24 /KG
Plat à cuisiner déshydraté   Spaghetteria  Spaghetti Carbonara;1.7;8.95 /KG
Plat à cuisiner déshydraté   Spaghetteria crème;1.7;10.43 /KG
Plat à cuisiner déshydraté  Nudelsuppe mit Garnelen  60g;0.44;7.33 /KG
Plat à cuisiner déshydraté  Nudelsuppe mit Huhn  60g;0.44;7.33 /KG
Plat à cuisiner déshydraté  Nudelsuppe mit Rindfleisch  60g;0.44;7.33 /KG
Plat à cuisiner déshydraté  Spaghetti Käse-Sahne Sauce  Snack Bar;1.3;18.06 /KG
Plat à cuisiner déshydraté  Würziger Nudeltopf  Suppenliebe;1.29;15.18 /KG
Plat à cuisiner garniture Vol au Vent   420g;2.39;5.69 /KG
Plat déshydraté à base de riz  Risotto poulet champignons  250g;2.83;11.32 /KG
Plat préparé  Spaghetti mit Tomaten  634g;2.99;4.72 /KG
Plats à cuisiner  Kartoffel Knödel mit Kochbeutel  200g;1.95;9.75 /KG
Pois chiches secs   Grao de bico  500g;1.18;2.36 /KG
Poivre blanc moulu  100ml;2.25;22.50 /L
Poivre en grain blanc  80g;3.62;3.62 /PC
Poivre en grain moulin à poivre blanc;4.42;4.42 /PC
Poivre en grain moulin à poivre noir;4.1;4.10 /PC
Poivre en grain noir  80g;3.28;3.28 /PC
Poivre en grain vert en bocal  60g;1.18;19.67 /KG
Poivre moulu blanc flacon  100ml;2.73;27.30 /L
Poivre moulu noir flacon  100ml;3.24;32.40 /L
